algorithm,trunc_bits,repetition,seed_attempt,seed_state_hex,found,rho_meet_steps,mu,lambda,collision_index,hash_evaluations,expected_collision_steps,log2_collision_index,ratio_to_expected,seconds,input_a_hex,input_b_hex,collision_trunc_hex
SHA-3-256,16,15,0,0x314c,yes,25,15,25,40,185,320.8484,5.321928,0.12466946,0.000359,ccf543a0a06f35e7574d000000000000,ccf543a0a06f35e73d96000000000000,0x77da
SHA-3-256,16,20,0,0x6711,yes,29,2,29,31,153,320.8484,4.954196,0.09661883,0.000320,7eadfe024879342de7ef000000000000,7eadfe024879342d9356000000000000,0x8a18
SHA-3-256,16,6,0,0x5714,yes,268,26,268,294,1444,320.8484,8.199672,0.91632055,0.000993,6c5ab36bba7907cc82e5000000000000,6c5ab36bba7907cc8b1d000000000000,0x57b9
SHA-3-256,16,3,0,0x7452,yes,117,14,117,131,641,320.8484,7.033423,0.40829249,0.001131,1c21259c61ec16c8ecf6000000000000,1c21259c61ec16c824c7000000000000,0x7290
SHA-3-256,16,8,0,0xdc29,yes,94,13,94,107,522,320.8484,6.741467,0.33349081,0.000722,5740f471a9440c8659ca000000000000,5740f471a9440c868c5c000000000000,0x4339
SHA-3-256,16,10,0,0x6245,yes,85,39,85,124,581,320.8484,6.954196,0.38647533,0.001064,0e5ada96c0dc8552f80b000000000000,0e5ada96c0dc8552778e000000000000,0x44bd
SHA-3-256,16,28,0,0x40f1,yes,48,9,48,57,276,320.8484,5.832890,0.17765398,0.000470,bd47750ad62682ec3704000000000000,bd47750ad62682ec43a1000000000000,0xcf7f
SHA-3-256,16,4,0,0x22bd,yes,144,93,144,237,1092,320.8484,7.888743,0.73866657,0.002003,ffafb112246a291a1f75000000000000,ffafb112246a291a0f65000000000000,0xb609
SHA-3-256,16,29,0,0xee51,yes,88,1,88,89,444,320.8484,6.475733,0.27738955,0.000896,eaf4c5820782ff3751ee000000000000,eaf4c5820782ff37604e000000000000,0x7459
SHA-3-256,16,44,0,0xbb06,yes,24,22,4,26,168,320.8484,4.700440,0.08103515,0.000608,0c7fd7acdbccc41a5c78000000000000,0c7fd7acdbccc41a6dbc000000000000,0x2a95
SHA-3-256,16,26,0,0x0a2a,yes,107,15,107,122,595,320.8484,6.930737,0.38024186,0.001307,a1f0d28d539ba7f1ed2f000000000000,a1f0d28d539ba7f1d922000000000000,0x1ab7
SHA-3-256,16,9,0,0x0480,yes,176,138,44,182,1168,320.8484,7.507795,0.56724605,0.002106,9a95a0161723ec91d749000000000000,9a95a0161723ec91067a000000000000,0x1048
SHA-3-256,16,13,0,0x7e8b,yes,128,125,32,157,948,320.8484,7.294621,0.48932764,0.001965,21cb3dc6356bd7c7bdd5000000000000,21cb3dc6356bd7c7e2d9000000000000,0x15a9
SHA-3-256,16,40,0,0x1866,yes,45,11,45,56,269,320.8484,5.807355,0.17453725,0.000992,e83c1cf9f20fc4eb5e74000000000000,e83c1cf9f20fc4eb4d83000000000000,0x61dd
SHA-3-256,16,23,0,0x2e9d,yes,139,52,139,191,903,320.8484,7.577429,0.59529668,0.001725,2992e0407c1c9d449874000000000000,2992e0407c1c9d4406fe000000000000,0x16fb
SHA-3-256,16,30,0,0x15f0,yes,110,101,11,112,756,320.8484,6.807355,0.34907450,0.001496,5a5b45c6fc80411d65cb000000000000,5a5b45c6fc80411d879d000000000000,0xdbfa
SHA-3-256,16,35,0,0x6ecc,yes,135,86,135,221,1019,320.8484,7.787903,0.68879878,0.001344,5d47b9634b90708d4dc2000000000000,5d47b9634b90708d8114000000000000,0x665a
