algorithm,trunc_bits,repetition,seed_attempt,seed_state_hex,message_salt_hex,projection,message_format,found,rho_meet_steps,mu,lambda,collision_index,hash_evaluations,expected_collision_steps,log2_collision_index,ratio_to_expected,seconds,input_a_hex,input_b_hex,collision_trunc_hex
SpVSH-320,16,34,0,0xac39,0x40565ca8c6d7a7a6,rightmost_mod_2t,LE64_salt_concat_LE64_state,yes,20,9,20,29,136,320.848419,4.857981,0.09038536,0.000821,a6a7d7c6a85c56400f5c000000000000,a6a7d7c6a85c56409c30000000000000,0xae4a
SpVSH-320,16,48,0,0x50dd,0x668591c9092d6408,rightmost_mod_2t,LE64_salt_concat_LE64_state,yes,16,1,16,17,84,320.848419,4.087463,0.05298452,0.000572,08642d09c9918566dd50000000000000,08642d09c9918566a85f000000000000,0x3ea6
SpVSH-320,16,16,0,0x9cd2,0xe59cf5c6c6ad5299,rightmost_mod_2t,LE64_salt_concat_LE64_state,yes,84,11,84,95,464,320.848419,6.569856,0.29608997,0.001602,9952adc6c6f59ce5bed7000000000000,9952adc6c6f59ce5bafd000000000000,0xb713
SpVSH-320,16,7,0,0x5ae6,0x8025e0295f179796,rightmost_mod_2t,LE64_salt_concat_LE64_state,yes,104,54,52,106,632,320.848419,6.727920,0.33037408,0.002053,9697175f29e0258083dc000000000000,9697175f29e02580051d000000000000,0x7fe3
SpVSH-320,16,40,0,0x4e69,0x29005a11c54bbbaf,rightmost_mod_2t,LE64_salt_concat_LE64_state,yes,26,22,26,48,218,320.848419,5.584963,0.14960336,0.001051,afbb4bc5115a00291784000000000000,afbb4bc5115a0029bdec000000000000,0xaa5d
SpVSH-320,16,0,0,0xb35c,0x08830a87b9fb3c0a,rightmost_mod_2t,LE64_salt_concat_LE64_state,yes,107,60,107,167,775,320.848419,7.383704,0.52049501,0.002513,0a3cfbb9870a830863e4000000000000,0a3cfbb9870a83083927000000000000,0x42c4
SpVSH-320,16,6,0,0x0844,0x2e974bf09527ec2d,rightmost_mod_2t,LE64_salt_concat_LE64_state,yes,212,126,106,232,1352,320.848419,7.857981,0.72308288,0.002382,2dec2795f04b972efdf3000000000000,2dec2795f04b972e62bc000000000000,0xe166
SpVSH-320,16,11,0,0x6515,0x91de4514825b23b4,rightmost_mod_2t,LE64_salt_concat_LE64_state,yes,66,64,22,86,498,320.848419,6.426265,0.26803934,0.002376,b4235b821445de91ffb4000000000000,b4235b821445de91096c000000000000,0x3a51
SpVSH-320,16,31,0,0x3d04,0xafde2d833a28d09e,rightmost_mod_2t,LE64_salt_concat_LE64_state,yes,191,84,191,275,1291,320.848419,8.103288,0.85710256,0.001852,9ed0283a832ddeafeb05000000000000,9ed0283a832ddeaf7003000000000000,0xd559
SpVSH-320,16,8,0,0x5076,0xf56794258efa6c60,rightmost_mod_2t,LE64_salt_concat_LE64_state,yes,74,45,74,119,550,320.848419,6.894818,0.37089165,0.002688,606cfa8e259467f59020000000000000,606cfa8e259467f59133000000000000,0x2489
