algorithm,trunc_bits,repetition,seed_attempt,seed_state_hex,message_salt_hex,projection,message_format,found,rho_meet_steps,mu,lambda,collision_index,hash_evaluations,expected_collision_steps,log2_collision_index,ratio_to_expected,seconds,input_a_hex,input_b_hex,collision_trunc_hex,failure_reason
VSH-256,16,3,0,0x0fd2,0xaa691ff37fbd7e55,rightmost_mod_2t,LE64_salt_concat_LE64_state,yes,44,33,22,55,308,320.8484,5.781360,0.17142051,0.001434,557ebd7ff31f69aacc63000000000000,557ebd7ff31f69aac7e8000000000000,0x15ff,
VSH-256,16,31,0,0x218e,0xafde2d833a28d09e,rightmost_mod_2t,LE64_salt_concat_LE64_state,yes,25,11,25,36,169,320.8484,5.169925,0.11220252,0.000489,9ed0283a832ddeaf4c3d000000000000,9ed0283a832ddeaf3035000000000000,0xabb8,
VSH-256,16,8,0,0x237b,0xf56794258efa6c60,rightmost_mod_2t,LE64_salt_concat_LE64_state,yes,95,57,95,152,703,320.8484,7.247928,0.47374396,0.002284,606cfa8e259467f5d044000000000000,606cfa8e259467f5af7f000000000000,0xab0c,
VSH-256,16,1,0,0xa63c,0x5f0ccaf45efde61a,rightmost_mod_2t,LE64_salt_concat_LE64_state,yes,217,48,217,265,1277,320.8484,8.049849,0.82593519,0.003698,1ae6fd5ef4ca0c5f17c6000000000000,1ae6fd5ef4ca0c5f9146000000000000,0x52f4,
VSH-256,16,14,0,0x823d,0xf0b11cb2c42f88b0,rightmost_mod_2t,LE64_salt_concat_LE64_state,yes,114,90,114,204,930,320.8484,7.672425,0.63581426,0.002731,b0882fc4b21cb1f08278000000000000,b0882fc4b21cb1f0a301000000000000,0x082e,
VSH-256,16,27,0,0x034e,0x419a5214b7109991,rightmost_mod_2t,LE64_salt_concat_LE64_state,yes,76,58,76,134,612,320.8484,7.066089,0.41764270,0.001888,919910b714529a41b439000000000000,919910b714529a411779000000000000,0x9b25,
VSH-256,16,22,0,0x2a2c,0xe91aafe6d99e8d7b,rightmost_mod_2t,LE64_salt_concat_LE64_state,yes,98,60,49,109,632,320.8484,6.768184,0.33972429,0.002389,7b8d9ed9e6af1ae975af000000000000,7b8d9ed9e6af1ae92812000000000000,0x9a23,
VSH-256,16,11,0,0x147c,0x91de4514825b23b4,rightmost_mod_2t,LE64_salt_concat_LE64_state,yes,308,75,308,383,1840,320.8484,8.581201,1.19371010,0.003956,b4235b821445de9167aa000000000000,b4235b821445de9124eb000000000000,0x4a6c,
VSH-256,16,37,0,0xbdb0,0x62fb1154eb307154,rightmost_mod_2t,LE64_salt_concat_LE64_state,yes,176,64,176,240,1136,320.8484,7.906891,0.74801678,0.001678,547130eb5411fb6285b7000000000000,547130eb5411fb62c209000000000000,0xf251,
VSH-256,16,25,0,0xcf54,0xd0bb9b2dee764473,rightmost_mod_2t,LE64_salt_concat_LE64_state,yes,114,112,6,118,802,320.8484,6.882643,0.36777491,0.002681,734476ee2d9bbbd057b5000000000000,734476ee2d9bbbd04920000000000000,0x8b10,
VSH-256,16,34,0,0x4bf5,0x40565ca8c6d7a7a6,rightmost_mod_2t,LE64_salt_concat_LE64_state,yes,86,44,86,130,606,320.8484,7.022368,0.40517575,0.001957,a6a7d7c6a85c56400c6d000000000000,a6a7d7c6a85c5640dc47000000000000,0xbbf9,
VSH-256,16,4,0,0x8e96,0x16a32345101327a7,rightmost_mod_2t,LE64_salt_concat_LE64_state,yes,352,276,176,452,2512,320.8484,8.820179,1.40876493,0.004861,a72713104523a3166153000000000000,a72713104523a316274c000000000000,0x4932,
VSH-256,16,47,0,0xa5b1,0xda32249af54e71b1,rightmost_mod_2t,LE64_salt_concat_LE64_state,yes,64,23,64,87,412,320.8484,6.442943,0.27115608,0.000997,b1714ef59a2432da82b6000000000000,b1714ef59a2432da0437000000000000,0x8b6a,
VSH-256,16,5,0,0xf0c7,0x4379acb0cf3aa123,rightmost_mod_2t,LE64_salt_concat_LE64_state,yes,296,212,148,360,2032,320.8484,8.491853,1.12202516,0.004771,23a13acfb0ac7943cc2c000000000000,23a13acfb0ac7943904d000000000000,0x0459,
VSH-256,16,46,0,0xf370,0x6055b67b0bf8c1ec,rightmost_mod_2t,LE64_salt_concat_LE64_state,yes,61,4,61,65,321,320.8484,6.022368,0.20258788,0.001196,ecc1f80b7bb6556089eb000000000000,ecc1f80b7bb655604b3e000000000000,0x8586,
VSH-256,16,44,0,0xb2f5,0x837552da13c62f35,rightmost_mod_2t,LE64_salt_concat_LE64_state,yes,165,118,165,283,1297,320.8484,8.144658,0.88203645,0.001594,352fc613da5275834e6a000000000000,352fc613da527583920f000000000000,0xea50,
VSH-256,16,23,0,0x46d6,0xa5fa6362630995ff,rightmost_mod_2t,LE64_salt_concat_LE64_state,yes,142,57,142,199,938,320.8484,7.636625,0.62023058,0.003516,ff9509636263faa57c92000000000000,ff9509636263faa548e4000000000000,0x8496,
VSH-256,16,48,0,0x3066,0x668591c9092d6408,rightmost_mod_2t,LE64_salt_concat_LE64_state,yes,121,118,11,129,857,320.8484,7.011227,0.40205902,0.001411,08642d09c99185662b44000000000000,08642d09c9918566f4e3000000000000,0xc6be,
VSH-256,16,2,0,0xd1c7,0xc42dfd883bce85a1,rightmost_mod_2t,LE64_salt_concat_LE64_state,yes,408,93,408,501,2412,320.8484,8.968667,1.56148502,0.005482,a185ce3b88fd2dc481a2000000000000,a185ce3b88fd2dc458af000000000000,0x7868,
VSH-256,16,49,0,0x92c4,0x97b265e68b2d19bf,rightmost_mod_2t,LE64_salt_concat_LE64_state,yes,88,76,22,98,612,320.8484,6.614710,0.30544018,0.001510,bf192d8be665b2975a8b000000000000,bf192d8be665b2979d71000000000000,0x4c4b,
VSH-256,16,35,0,0x7ac0,0x7285430a999f72b6,rightmost_mod_2t,LE64_salt_concat_LE64_state,yes,168,165,56,221,1276,320.8484,7.787903,0.68879878,0.002649,b6729f990a4385727a9d000000000000,b6729f990a4385725c87000000000000,0x84fb,
VSH-256,16,28,0,0xbd8f,0x5cefc3b4e5afb679,rightmost_mod_2t,LE64_salt_concat_LE64_state,yes,212,140,106,246,1408,320.8484,7.942515,0.76671720,0.003442,79b6afe5b4c3ef5cff1c000000000000,79b6afe5b4c3ef5c354d000000000000,0x68f6,
VSH-256,16,20,0,0x31a3,0x6a4c6d456673f8d1,rightmost_mod_2t,LE64_salt_concat_LE64_state,yes,434,93,434,527,2542,320.8484,9.041659,1.64252017,0.004031,d1f87366456d4c6ab306000000000000,d1f87366456d4c6a1db1000000000000,0x6920,
VSH-256,16,12,0,0xe8ac,0xc3e7a39a5c11f003,rightmost_mod_2t,LE64_salt_concat_LE64_state,yes,316,289,316,605,2736,320.8484,9.240791,1.88562562,0.005045,03f0115c9aa3e7c3f70c000000000000,03f0115c9aa3e7c3f085000000000000,0x6654,
VSH-256,16,26,0,0x067d,0x69eace2cccadc6cb,rightmost_mod_2t,LE64_salt_concat_LE64_state,yes,199,29,199,228,1111,320.8484,7.832890,0.71061594,0.003782,cbc6adcc2cceea69b10c000000000000,cbc6adcc2cceea69b165000000000000,0xfdfa,
VSH-256,16,30,0,0x3a0d,0x743779b5babc814e,rightmost_mod_2t,LE64_salt_concat_LE64_state,yes,179,57,179,236,1123,320.8484,7.882643,0.73554983,0.003483,4e81bcbab57937741003000000000000,4e81bcbab57937745ce2000000000000,0x7525,
VSH-256,16,40,0,0xdbbc,0x29005a11c54bbbaf,rightmost_mod_2t,LE64_salt_concat_LE64_state,yes,110,12,110,122,598,320.8484,6.930737,0.38024186,0.002664,afbb4bc5115a0029752c000000000000,afbb4bc5115a00299d40000000000000,0x0071,
VSH-256,16,33,0,0x7ca3,0x9915e0e7e4df0562,rightmost_mod_2t,LE64_salt_concat_LE64_state,yes,173,28,173,201,977,320.8484,7.651052,0.62646405,0.003413,6205dfe4e7e015999abb000000000000,6205dfe4e7e015995824000000000000,0xa711,
VSH-256,16,19,0,0x515e,0x65316020da3296a8,rightmost_mod_2t,LE64_salt_concat_LE64_state,yes,260,179,130,309,1756,320.8484,8.271463,0.96307160,0.004465,a89632da20603165fdc8000000000000,a89632da206031653ac3000000000000,0xe059,
VSH-256,16,9,0,0x975d,0x3e1ec646a09f9df5,rightmost_mod_2t,LE64_salt_concat_LE64_state,yes,503,45,503,548,2695,320.8484,9.098032,1.70797164,0.005496,f59d9fa046c61e3e00a4000000000000,f59d9fa046c61e3ec10f000000000000,0x71ca,
VSH-256,16,0,0,0x66da,0x08830a87b9fb3c0a,rightmost_mod_2t,LE64_salt_concat_LE64_state,yes,375,334,125,459,2711,320.8484,8.842350,1.43058208,0.006378,0a3cfbb9870a83083543000000000000,0a3cfbb9870a83086ff1000000000000,0x3e1f,
VSH-256,16,6,0,0xea92,0x2e974bf09527ec2d,rightmost_mod_2t,LE64_salt_concat_LE64_state,yes,458,243,229,472,2804,320.8484,8.882643,1.47109966,0.005962,2dec2795f04b972e5a8b000000000000,2dec2795f04b972ebbee000000000000,0x1bfa,
VSH-256,16,7,0,0xd929,0x8025e0295f179796,rightmost_mod_2t,LE64_salt_concat_LE64_state,yes,246,235,246,481,2170,320.8484,8.909893,1.49915029,0.005789,9697175f29e025801701000000000000,9697175f29e025800f95000000000000,0x9228,
VSH-256,16,13,0,0xef38,0x15274173d70811c3,rightmost_mod_2t,LE64_salt_concat_LE64_state,yes,331,2,331,333,1663,320.8484,8.379378,1.03787328,0.005308,c31108d7734127156dae000000000000,c31108d7734127154127000000000000,0xc22e,
VSH-256,16,18,0,0xdd39,0xad2a155594d12e91,rightmost_mod_2t,LE64_salt_concat_LE64_state,yes,348,256,116,372,2300,320.8484,8.539159,1.15942600,0.005159,912ed19455152aad864f000000000000,912ed19455152aad7cac000000000000,0x9d15,
VSH-256,16,24,0,0x33d9,0x14351a1114e0decf,rightmost_mod_2t,LE64_salt_concat_LE64_state,yes,280,74,280,354,1696,320.8484,8.467606,1.10332474,0.004912,cfdee014111a35148b7c000000000000,cfdee014111a35145b15000000000000,0x5a2d,
VSH-256,16,15,0,0x930e,0x72c33819823e3ee1,rightmost_mod_2t,LE64_salt_concat_LE64_state,yes,504,104,504,608,2936,320.8484,9.247928,1.89497583,0.005648,e13e3e821938c372f512000000000000,e13e3e821938c3722645000000000000,0xd10e,
VSH-256,16,32,0,0xfbb2,0x854c16140d4388fb,rightmost_mod_2t,LE64_salt_concat_LE64_state,yes,366,139,366,505,2386,320.8484,8.980140,1.57395197,0.004669,fb88430d14164c853be2000000000000,fb88430d14164c85b636000000000000,0x19f9,
VSH-256,16,10,0,0x0c7d,0x818169553821b355,rightmost_mod_2t,LE64_salt_concat_LE64_state,yes,412,412,2,414,2888,320.8484,8.693487,1.29032894,0.006805,55b3213855698181b2e3000000000000,55b3213855698181523b000000000000,0x36b4,
VSH-256,16,38,0,0x281f,0x0d3506abbde879cf,rightmost_mod_2t,LE64_salt_concat_LE64_state,yes,281,126,281,407,1909,320.8484,8.668885,1.26851178,0.004416,cf79e8bdab06350d6c44000000000000,cf79e8bdab06350d7144000000000000,0x372d,
VSH-256,16,17,1,0x2863,0x53f250e64b94764c,rightmost_mod_2t,LE64_salt_concat_LE64_state,yes,325,142,325,467,3493,320.8484,8.867279,1.45551598,0.006244,4c76944be650f253316b000000000000,4c76944be650f25362d6000000000000,0xbe57,
VSH-256,16,16,0,0x05cc,0xe59cf5c6c6ad5299,rightmost_mod_2t,LE64_salt_concat_LE64_state,yes,387,21,387,408,2019,320.8484,8.672425,1.27162852,0.006694,9952adc6c6f59ce5a4c3000000000000,9952adc6c6f59ce5cadc000000000000,0xe8fe,
VSH-256,16,36,0,0x14a1,0x8cda3bfb01dba9a8,rightmost_mod_2t,LE64_salt_concat_LE64_state,yes,379,173,379,552,2587,320.8484,9.108524,1.72043858,0.005076,a8a9db01fb3bda8c745f000000000000,a8a9db01fb3bda8c6d3f000000000000,0x2846,
VSH-256,16,45,0,0xa099,0x5b124cfdbfce8f8f,rightmost_mod_2t,LE64_salt_concat_LE64_state,yes,375,361,125,486,2819,320.8484,8.924813,1.51473397,0.004351,8f8fcebffd4c125bea3e000000000000,8f8fcebffd4c125beaff000000000000,0xec83,
VSH-256,16,21,0,0x8273,0x4f302dfe267335eb,rightmost_mod_2t,LE64_salt_concat_LE64_state,yes,159,158,159,317,1427,320.8484,8.308339,0.98800549,0.006613,eb357326fe2d304fbd10000000000000,eb357326fe2d304fd757000000000000,0xbe8f,
VSH-256,16,39,0,0xfdd9,0xc6e8f7dcf2712950,rightmost_mod_2t,LE64_salt_concat_LE64_state,yes,397,64,397,461,2241,320.8484,8.848623,1.43681556,0.005729,502971f2dcf7e8c697ad000000000000,502971f2dcf7e8c620a9000000000000,0x9c8b,
VSH-256,16,42,0,0x5393,0x16613305fd7f7d75,rightmost_mod_2t,LE64_salt_concat_LE64_state,yes,435,197,435,632,2963,320.8484,9.303781,1.96977751,0.005274,757d7ffd05336116e4a4000000000000,757d7ffd053361163c20000000000000,0x52d9,
VSH-256,16,43,0,0x9f64,0xbfe29b8a4b18834c,rightmost_mod_2t,LE64_salt_concat_LE64_state,yes,183,165,183,348,1575,320.8484,8.442943,1.08462432,0.005818,4c83184b8a9be2bfba4e000000000000,4c83184b8a9be2bfd5f5000000000000,0xa688,
VSH-256,16,29,0,0x0363,0x038a21e80c6a1537,rightmost_mod_2t,LE64_salt_concat_LE64_state,yes,360,341,90,431,2624,320.8484,8.751544,1.34331346,0.007332,37156a0ce8218a032d52000000000000,37156a0ce8218a03c256000000000000,0xe790,
VSH-256,16,41,0,0x70ea,0x6571f2cae6415418,rightmost_mod_2t,LE64_salt_concat_LE64_state,yes,863,52,863,915,4523,320.8484,9.837628,2.85181396,0.006776,185441e6caf271654642000000000000,185441e6caf2716511a6000000000000,0x90ad,
VSH-256,24,22,0,0x758334,0xd5b0e96031756202,rightmost_mod_2t,LE64_salt_concat_LE64_state,yes,762,433,381,814,4780,5133.5747,9.668885,0.15856397,0.008363,0262753160e9b0d5f87a380000000000,0262753160e9b0d54c99140000000000,0xed179e,
VSH-256,24,47,0,0x0a0d3f,0xc88cce81b75e46ca,rightmost_mod_2t,LE64_salt_concat_LE64_state,yes,782,100,782,882,4310,5133.5747,9.784635,0.17181010,0.009023,ca465eb781ce8cc827332d0000000000,ca465eb781ce8cc855bace0000000000,0xba2088,
VSH-256,24,13,0,0xe1f5e9,0x67ff6996fb9f1e7c,rightmost_mod_2t,LE64_salt_concat_LE64_state,yes,487,436,487,923,4179,5133.5747,9.850187,0.17979674,0.010445,7c1e9ffb9669ff670f72bc0000000000,7c1e9ffb9669ff6759149b0000000000,0x376ffe,
VSH-256,24,19,0,0x26e8f1,0x6dbfabc2f468a0e0,rightmost_mod_2t,LE64_salt_concat_LE64_state,yes,1360,1328,340,1668,10072,5133.5747,10.703904,0.32491979,0.012573,e0a068f4c2abbf6db1c27e0000000000,e0a068f4c2abbf6d51be850000000000,0x27afdb,
VSH-256,24,8,0,0x63d331,0xe6b40a22830f3fc9,rightmost_mod_2t,LE64_salt_concat_LE64_state,yes,2128,581,2128,2709,12964,5133.5747,11.403545,0.52770246,0.015941,c93f0f83220ab4e662dd570000000000,c93f0f83220ab4e6696eab0000000000,0x63a693,
VSH-256,24,49,0,0x80613f,0xa213e3b9705cc764,rightmost_mod_2t,LE64_salt_concat_LE64_state,yes,1040,958,130,1088,7212,5133.5747,10.087463,0.21193809,0.016385,64c75c70b9e313a2e1637d0000000000,64c75c70b9e313a25a627a0000000000,0x751725,
VSH-256,24,34,0,0x42e0a5,0x944c18603dcdab91,rightmost_mod_2t,LE64_salt_concat_LE64_state,yes,1096,791,1096,1887,8644,5133.5747,10.881879,0.36758012,0.018839,91abcd3d60184c941e415a0000000000,91abcd3d60184c94cc57e70000000000,0xbbf565,
VSH-256,24,44,0,0x04a584,0x1cefef44fc2be008,rightmost_mod_2t,LE64_salt_concat_LE64_state,yes,1241,1177,1241,2418,10913,5133.5747,11.239599,0.47101681,0.023364,08e02bfc44efef1c4d631e0000000000,08e02bfc44efef1c0ec23b0000000000,0x067d66,
VSH-256,24,14,0,0xd6824c,0x7e7d85fd1c043f09,rightmost_mod_2t,LE64_salt_concat_LE64_state,yes,1569,1351,523,1874,11157,5133.5747,10.871905,0.36504777,0.025693,093f041cfd857d7e9d1b020000000000,093f041cfd857d7ec3605b0000000000,0xcfd6d8,
VSH-256,24,30,0,0x035942,0x1bd9feac01953858,rightmost_mod_2t,LE64_salt_concat_LE64_state,yes,2013,525,2013,2538,12165,5133.5747,11.309476,0.49439234,0.025980,58389501acfed91bc9da4d0000000000,58389501acfed91be14bf30000000000,0x9a0ec6,
VSH-256,24,10,0,0xe0e694,0x52145a6cfc3844d8,rightmost_mod_2t,LE64_salt_concat_LE64_state,yes,2874,2799,958,3757,21734,5133.5747,11.875365,0.73184870,0.027343,d84438fc6c5a145267c93f0000000000,d84438fc6c5a1452e318430000000000,0xd59b43,
VSH-256,24,2,0,0x2dd7c5,0x5e4e118a81a3fa43,rightmost_mod_2t,LE64_salt_concat_LE64_state,yes,2849,2258,2849,5107,23277,5133.5747,12.318260,0.99482335,0.028696,43faa3818a114e5eda02a50000000000,43faa3818a114e5eabe96e0000000000,0x1a91a8,
VSH-256,24,31,0,0x4a58d4,0x613f79ad3bf97fe5,rightmost_mod_2t,LE64_salt_concat_LE64_state,yes,2921,617,2921,3538,17073,5133.5747,11.788718,0.68918837,0.028125,e57ff93bad793f6192d0f90000000000,e57ff93bad793f61014e650000000000,0xa0c472,
VSH-256,24,4,0,0xabb27e,0x6b53f3880b354ba8,rightmost_mod_2t,LE64_salt_concat_LE64_state,yes,2469,1761,823,2584,16097,5133.5747,11.335390,0.50335296,0.033013,a84b350b88f3536b8f27c20000000000,a84b350b88f3536b2fd0fd0000000000,0x4d8b46,
VSH-256,24,38,0,0x1887e6,0x0836269342a134a3,rightmost_mod_2t,LE64_salt_concat_LE64_state,yes,3208,34,3208,3242,16176,5133.5747,11.662668,0.63152875,0.032068,a334a142932636080dc0fa0000000000,a334a14293263608cab3980000000000,0x304aa7,
VSH-256,24,24,0,0xc893d8,0x9e37d9912a702c29,rightmost_mod_2t,LE64_salt_concat_LE64_state,yes,3883,30,3883,3913,19535,5133.5747,11.934059,0.76223689,0.033650,292c702a91d9379ee3ce450000000000,292c702a91d9379ea24c650000000000,0x69f129,
