time_s,Voltage_V,Current_A,Power_W,Capacity_Ah,Energy_Wh
0.00000000,5.02198000,0.08401000,0.42189654,0.00005834,0.00014646
5.00000000,5.02089000,0.08399000,0.42170455,0.00017501,0.00029292
10.00000000,5.02202000,0.08400000,0.42184968,0.00029167,0.00043940
15.00000000,5.02229000,0.08402000,0.42197281,0.00040835,0.00058590
20.00000000,5.02159000,0.08403000,0.42196421,0.00052505,0.00073241
25.00000000,5.02143000,0.08403000,0.42195076,0.00064176,0.00087890
30.00000000,5.02085000,0.08407000,0.42210286,0.00075849,0.00102546
35.00000000,5.02061000,0.08407000,0.42208268,0.00087526,0.00117200
40.00000000,5.02007000,0.08410000,0.42218789,0.00099204,0.00131862
45.00000000,5.02081000,0.08409000,0.42219991,0.00110884,0.00146519
50.00000000,5.02007000,0.08413000,0.42233849,0.00122566,0.00161183
55.00000000,5.01991000,0.08414000,0.42237523,0.00134251,0.00175851
60.00000000,5.02061000,0.08418000,0.42263495,0.00145940,0.00190527
65.00000000,5.02096000,0.08414000,0.42246357,0.00157629,0.00205193
70.00000000,5.01995000,0.08417000,0.42252919,0.00169317,0.00219868
75.00000000,5.02116000,0.08419000,0.42273146,0.00181009,0.00234543
80.00000000,5.02022000,0.08421000,0.42275273,0.00192703,0.00249226
85.00000000,5.02147000,0.08421000,0.42285799,0.00204399,0.00263902
90.00000000,5.01940000,0.08424000,0.42283426,0.00216097,0.00278586
95.00000000,5.02018000,0.08422000,0.42279956,0.00227796,0.00293267
100.00000000,5.02038000,0.08424000,0.42291681,0.00239494,0.00307949
105.00000000,5.01948000,0.08425000,0.42289119,0.00251195,0.00322634
110.00000000,5.01995000,0.08429000,0.42313159,0.00262899,0.00337327
115.00000000,5.02003000,0.08428000,0.42308813,0.00274606,0.00352016
120.00000000,5.01968000,0.08431000,0.42320922,0.00286313,0.00366714
125.00000000,5.02061000,0.08430000,0.42323742,0.00298022,0.00381409
130.00000000,5.02057000,0.08435000,0.42348508,0.00309734,0.00396115
135.00000000,5.02112000,0.08435000,0.42353147,0.00321449,0.00410819
140.00000000,5.02050000,0.08435000,0.42347917,0.00333165,0.00425524
145.00000000,5.02057000,0.08436000,0.42353529,0.00344881,0.00440231
150.00000000,5.02085000,0.08440000,0.42375974,0.00356600,0.00454945
155.00000000,5.02116000,0.08434000,0.42348463,0.00368318,0.00469650
160.00000000,5.02132000,0.08437000,0.42364877,0.00380034,0.00484359
165.00000000,5.02096000,0.08441000,0.42381923,0.00391755,0.00499077
170.00000000,5.02171000,0.08435000,0.42358124,0.00403474,0.00513781
175.00000000,5.02034000,0.08440000,0.42371670,0.00415193,0.00528493
180.00000000,5.02018000,0.08438000,0.42360279,0.00426914,0.00543204
185.00000000,5.02104000,0.08438000,0.42367536,0.00438633,0.00557916
190.00000000,5.02143000,0.08440000,0.42380869,0.00450354,0.00572629
195.00000000,5.02065000,0.08442000,0.42384327,0.00462078,0.00587344
