time_s,Voltage_V,Current_A,Capacity_Ah,Energy_Wh
0.00000000,5.02249000,0.08079000,0.00005610,0.00014084
5.00000000,5.02073000,0.08096000,0.00016843,0.00028197
10.00000000,5.02038000,0.08102000,0.00028092,0.00042320
15.00000000,5.02026000,0.08109000,0.00039349,0.00056455
20.00000000,5.02018000,0.08107000,0.00050610,0.00070586
25.00000000,5.02011000,0.08110000,0.00061872,0.00084721
30.00000000,5.01948000,0.08111000,0.00073137,0.00098859
35.00000000,5.02014000,0.08114000,0.00084404,0.00113001
40.00000000,5.01948000,0.08117000,0.00095676,0.00127146
45.00000000,5.01870000,0.08121000,0.00106952,0.00141301
50.00000000,5.01987000,0.08122000,0.00118232,0.00155458
55.00000000,5.01999000,0.08124000,0.00129514,0.00169617
60.00000000,5.01971000,0.08131000,0.00140802,0.00183795
65.00000000,5.02163000,0.08128000,0.00152093,0.00197966
70.00000000,5.02120000,0.08132000,0.00163385,0.00212139
75.00000000,5.01960000,0.08131000,0.00174678,0.00226311
80.00000000,5.01971000,0.08133000,0.00185973,0.00240489
85.00000000,5.02057000,0.08134000,0.00197269,0.00254668
90.00000000,5.02018000,0.08134000,0.00208567,0.00268846
95.00000000,5.02014000,0.08138000,0.00219867,0.00283028
100.00000000,5.01909000,0.08141000,0.00231172,0.00297220
105.00000000,5.02042000,0.08143000,0.00242480,0.00311412
110.00000000,5.01956000,0.08146000,0.00253792,0.00325611
115.00000000,5.01983000,0.08142000,0.00265103,0.00339804
120.00000000,5.02046000,0.08143000,0.00276412,0.00353996
125.00000000,5.01940000,0.08144000,0.00287722,0.00368193
130.00000000,5.02050000,0.08146000,0.00299035,0.00382391
135.00000000,5.01956000,0.08145000,0.00310348,0.00396587
140.00000000,5.01960000,0.08145000,0.00321660,0.00410783
145.00000000,5.01964000,0.08148000,0.00332975,0.00424987
150.00000000,5.02061000,0.08149000,0.00344292,0.00439194
155.00000000,5.02112000,0.08152000,0.00355612,0.00453403
160.00000000,5.01971000,0.08152000,0.00366935,0.00467611
165.00000000,5.01944000,0.08153000,0.00378258,0.00481819
170.00000000,5.01897000,0.08153000,0.00389581,0.00496030
175.00000000,5.01991000,0.08152000,0.00400904,0.00510237
180.00000000,5.01925000,0.08152000,0.00412226,0.00524445
185.00000000,5.01940000,0.08150000,0.00423547,0.00538652
190.00000000,5.02042000,0.08152000,0.00434868,0.00552861
195.00000000,5.02007000,0.08156000,0.00446193,0.00567079
200.00000000,5.02057000,0.08151000,0.00457517,0.00581286
205.00000000,5.01975000,0.08153000,0.00468840,0.00595497
210.00000000,5.01979000,0.08159000,0.00480167,0.00609718
215.00000000,5.01979000,0.08153000,0.00491495,0.00623931
220.00000000,5.02081000,0.08159000,0.00502823,0.00638155
225.00000000,5.02093000,0.08161000,0.00514156,0.00652382
230.00000000,5.02050000,0.08160000,0.00525490,0.00666608
235.00000000,5.02112000,0.08164000,0.00536826,0.00680842
240.00000000,5.02120000,0.08163000,0.00548165,0.00695072
245.00000000,5.02046000,0.08164000,0.00559503,0.00709305
250.00000000,5.02093000,0.08165000,0.00570842,0.00723540
255.00000000,5.02120000,0.08166000,0.00582183,0.00737776
260.00000000,5.02069000,0.08164000,0.00593524,0.00752009
265.00000000,5.02081000,0.08165000,0.00604863,0.00766244
270.00000000,5.02100000,0.08163000,0.00616202,0.00780473
275.00000000,5.02014000,0.08173000,0.00627547,0.00794723
280.00000000,5.02163000,0.08170000,0.00638896,0.00808963
285.00000000,5.01960000,0.08174000,0.00650246,0.00823208
290.00000000,5.01909000,0.08165000,0.00661592,0.00837443
295.00000000,5.02093000,0.08165000,0.00672933,0.00851676
300.00000000,5.02057000,0.08163000,0.00684272,0.00865905
305.00000000,5.01995000,0.08163000,0.00695609,0.00880135
310.00000000,5.02053000,0.08164000,0.00706947,0.00894368
315.00000000,5.02104000,0.08164000,0.00718286,0.00908599
320.00000000,5.02038000,0.08163000,0.00729624,0.00922829
325.00000000,5.02034000,0.08163000,0.00740962,0.00937061
330.00000000,5.02116000,0.08164000,0.00752300,0.00951294
335.00000000,5.02093000,0.08166000,0.00763640,0.00965530
340.00000000,5.02069000,0.08166000,0.00774982,0.00979763
345.00000000,5.01987000,0.08166000,0.00786324,0.00993998
350.00000000,5.02046000,0.08166000,0.00797665,0.01008233
355.00000000,5.02026000,0.08167000,0.00809008,0.01022468
360.00000000,5.02011000,0.08166000,0.00820350,0.01036704
365.00000000,5.02057000,0.08168000,0.00831693,0.01050944
370.00000000,5.02096000,0.08166000,0.00843036,0.01065180
375.00000000,5.02089000,0.08168000,0.00854379,0.01079419
380.00000000,5.02069000,0.08167000,0.00865723,0.01093659
385.00000000,5.02151000,0.08166000,0.00877065,0.01107898
390.00000000,5.02178000,0.08167000,0.00888408,0.01122137
395.00000000,5.02124000,0.08167000,0.00899751,0.01136373
400.00000000,5.02022000,0.08169000,0.00911095,0.01150617
405.00000000,5.02151000,0.08169000,0.00922441,0.01164859
410.00000000,5.02124000,0.08168000,0.00933786,0.01179101
415.00000000,5.02147000,0.08170000,0.00945132,0.01193343
420.00000000,5.02050000,0.08170000,0.00956479,0.01207584
425.00000000,5.02022000,0.08171000,0.00967827,0.01221829
430.00000000,5.02069000,0.08171000,0.00979176,0.01236075
435.00000000,5.02139000,0.08172000,0.00990525,0.01250321
440.00000000,5.02073000,0.08173000,0.01001876,0.01264568
445.00000000,5.02014000,0.08176000,0.01013229,0.01278819
450.00000000,5.01999000,0.08173000,0.01024583,0.01293064
455.00000000,5.01971000,0.08174000,0.01035935,0.01307311
460.00000000,5.01971000,0.08173000,0.01047287,0.01321554
465.00000000,5.01905000,0.08176000,0.01058640,0.01335803
470.00000000,5.01897000,0.08175000,0.01069995,0.01350051
475.00000000,5.01968000,0.08176000,0.01081350,0.01364301
480.00000000,5.01940000,0.08176000,0.01092706,0.01378551
485.00000000,5.01952000,0.08177000,0.01104062,0.01392801
490.00000000,5.01929000,0.08177000,0.01115419,0.01407058
495.00000000,5.02112000,0.08177000,0.01126776,0.01421312
500.00000000,5.02050000,0.08179000,0.01138134,0.01435569
505.00000000,5.02018000,0.08177000,0.01149492,0.01449824
510.00000000,5.02069000,0.08179000,0.01160851,0.01464083
515.00000000,5.02077000,0.08179000,0.01172210,0.01478342
520.00000000,5.02093000,0.08179000,0.01183570,0.01492596
525.00000000,5.01944000,0.08177000,0.01194928,0.01506849
530.00000000,5.01975000,0.08178000,0.01206286,0.01521105
535.00000000,5.02050000,0.08180000,0.01217646,0.01535362
540.00000000,5.01960000,0.08180000,0.01229007,0.01549620
545.00000000,5.01991000,0.08182000,0.01240369,0.01563878
550.00000000,5.01889000,0.08180000,0.01251732,0.01578137
555.00000000,5.02026000,0.08179000,0.01263092,0.01592396
560.00000000,5.02081000,0.08181000,0.01274453,0.01606658
565.00000000,5.02073000,0.08183000,0.01285817,0.01620923
570.00000000,5.02061000,0.08181000,0.01297181,0.01635184
575.00000000,5.02026000,0.08182000,0.01308544,0.01649448
580.00000000,5.02069000,0.08184000,0.01319910,0.01663714
585.00000000,5.02057000,0.08182000,0.01331275,0.01677975
590.00000000,5.01971000,0.08181000,0.01342638,0.01692234
595.00000000,5.01948000,0.08179000,0.01353999,0.01706491
600.00000000,5.02014000,0.08181000,0.01365360,0.01720749
605.00000000,5.01948000,0.08182000,0.01376724,0.01735009
610.00000000,5.01948000,0.08182000,0.01388087,0.01749269
615.00000000,5.01936000,0.08181000,0.01399451,0.01763529
