time_s,Voltage_V,Current_A,Power_W,Capacity_Ah,Energy_Wh
0.00000000,5.02229000,0.08237000,0.41368603,0.00005720,0.00014365
5.00000000,5.02272000,0.08244000,0.41407304,0.00017165,0.00028743
10.00000000,5.02299000,0.08244000,0.41409530,0.00028615,0.00043119
15.00000000,5.02210000,0.08244000,0.41402192,0.00040065,0.00057497
20.00000000,5.02292000,0.08248000,0.41429044,0.00051518,0.00071884
25.00000000,5.02339000,0.08249000,0.41437944,0.00062974,0.00086268
30.00000000,5.02194000,0.08251000,0.41436027,0.00074433,0.00100659
35.00000000,5.02311000,0.08251000,0.41445681,0.00085892,0.00115048
40.00000000,5.02264000,0.08253000,0.41451848,0.00097353,0.00129444
45.00000000,5.02358000,0.08251000,0.41449559,0.00108815,0.00143837
50.00000000,5.02381000,0.08256000,0.41476575,0.00120278,0.00158238
55.00000000,5.02374000,0.08253000,0.41460926,0.00131742,0.00172632
60.00000000,5.02292000,0.08256000,0.41469228,0.00143207,0.00187030
65.00000000,5.02257000,0.08256000,0.41466338,0.00154674,0.00201425
70.00000000,5.02132000,0.08254000,0.41445975,0.00166139,0.00215818
75.00000000,5.02214000,0.08256000,0.41462788,0.00177604,0.00230214
80.00000000,5.02194000,0.08257000,0.41466159,0.00189072,0.00244615
85.00000000,5.02276000,0.08260000,0.41487998,0.00200542,0.00259021
90.00000000,5.02280000,0.08259000,0.41483305,0.00212013,0.00273422
95.00000000,5.02175000,0.08261000,0.41484677,0.00223485,0.00287829
100.00000000,5.02268000,0.08261000,0.41492359,0.00234959,0.00302234
105.00000000,5.02182000,0.08262000,0.41490277,0.00246433,0.00316643
110.00000000,5.02299000,0.08265000,0.41515012,0.00257910,0.00331056
115.00000000,5.02217000,0.08266000,0.41513257,0.00269390,0.00345471
120.00000000,5.02245000,0.08266000,0.41515572,0.00280871,0.00359886
125.00000000,5.02260000,0.08270000,0.41536902,0.00292354,0.00374309
130.00000000,5.02280000,0.08272000,0.41548602,0.00303842,0.00388737
135.00000000,5.02350000,0.08273000,0.41559416,0.00315331,0.00403171
140.00000000,5.02479000,0.08276000,0.41585162,0.00326824,0.00417606
145.00000000,5.02296000,0.08276000,0.41570017,0.00338318,0.00432038
150.00000000,5.02257000,0.08276000,0.41566789,0.00349812,0.00446473
155.00000000,5.02303000,0.08276000,0.41570596,0.00361307,0.00460904
160.00000000,5.02225000,0.08276000,0.41564141,0.00372801,0.00475339
165.00000000,5.02323000,0.08276000,0.41572251,0.00384296,0.00489773
170.00000000,5.02299000,0.08275000,0.41565242,0.00395790,0.00504205
175.00000000,5.02307000,0.08276000,0.41570927,0.00407283,0.00518635
180.00000000,5.02151000,0.08279000,0.41573081,0.00418780,0.00533067
185.00000000,5.02050000,0.08278000,0.41559699,0.00430278,0.00547499
190.00000000,5.02104000,0.08279000,0.41569190,0.00441776,0.00561929
195.00000000,5.01979000,0.08279000,0.41558841,0.00453274,0.00576361
200.00000000,5.02046000,0.08280000,0.41569409,0.00464774,0.00590794
205.00000000,5.02026000,0.08281000,0.41572773,0.00476274,0.00605229
210.00000000,5.02026000,0.08280000,0.41567753,0.00487775,0.00619666
215.00000000,5.02147000,0.08281000,0.41582793,0.00499276,0.00634102
220.00000000,5.02073000,0.08281000,0.41576665,0.00510777,0.00648539
225.00000000,5.02093000,0.08281000,0.41578321,0.00522278,0.00662975
230.00000000,5.02050000,0.08283000,0.41584802,0.00533781,0.00677415
235.00000000,5.02081000,0.08282000,0.41582348,0.00545285,0.00691851
240.00000000,5.01991000,0.08283000,0.41579915,0.00556788,0.00706288
245.00000000,5.01971000,0.08282000,0.41573238,0.00568292,0.00720725
250.00000000,5.02057000,0.08283000,0.41585381,0.00579795,0.00735166
255.00000000,5.02093000,0.08284000,0.41593384,0.00591300,0.00749609
260.00000000,5.02128000,0.08285000,0.41601305,0.00602806,0.00764052
265.00000000,5.02081000,0.08285000,0.41597411,0.00614313,0.00778495
270.00000000,5.02077000,0.08285000,0.41597079,0.00625820,0.00792938
275.00000000,5.02046000,0.08286000,0.41599532,0.00637328,0.00807381
280.00000000,5.02018000,0.08285000,0.41592191,0.00648835,0.00821825
285.00000000,5.02081000,0.08283000,0.41587369,0.00660341,0.00836261
290.00000000,5.01948000,0.08283000,0.41576353,0.00671845,0.00850698
295.00000000,5.01952000,0.08284000,0.41581704,0.00683350,0.00865136
300.00000000,5.01948000,0.08283000,0.41576353,0.00694855,0.00879575
305.00000000,5.02042000,0.08286000,0.41599200,0.00706361,0.00894019
310.00000000,5.02034000,0.08283000,0.41583476,0.00717867,0.00908458
315.00000000,5.02077000,0.08283000,0.41587038,0.00729372,0.00922899
320.00000000,5.02100000,0.08284000,0.41593964,0.00740876,0.00937342
325.00000000,5.02108000,0.08283000,0.41589606,0.00752381,0.00951783
330.00000000,5.02135000,0.08285000,0.41601885,0.00763887,0.00966229
335.00000000,5.02163000,0.08283000,0.41594161,0.00775392,0.00980670
340.00000000,5.02151000,0.08285000,0.41603210,0.00786898,0.00995115
345.00000000,5.02089000,0.08286000,0.41603095,0.00798406,0.01009561
350.00000000,5.02104000,0.08287000,0.41609358,0.00809915,0.01024007
355.00000000,5.02057000,0.08286000,0.41600443,0.00821424,0.01038452
360.00000000,5.02073000,0.08286000,0.41601769,0.00832932,0.01052898
365.00000000,5.02124000,0.08285000,0.41600973,0.00844440,0.01067341
370.00000000,5.02042000,0.08285000,0.41594180,0.00855947,0.01081785
375.00000000,5.02093000,0.08286000,0.41603426,0.00867454,0.01096232
380.00000000,5.02143000,0.08286000,0.41607569,0.00878962,0.01110677
385.00000000,5.02093000,0.08284000,0.41593384,0.00890469,0.01125119
390.00000000,5.02089000,0.08283000,0.41588032,0.00901974,0.01139562
395.00000000,5.02178000,0.08286000,0.41610469,0.00913481,0.01154007
400.00000000,5.02050000,0.08284000,0.41589822,0.00924987,0.01168448
405.00000000,5.02073000,0.08286000,0.41601769,0.00936494,0.01182891
410.00000000,5.02003000,0.08284000,0.41585929,0.00948001,0.01197330
415.00000000,5.01991000,0.08282000,0.41574895,0.00959506,0.01211768
420.00000000,5.02077000,0.08282000,0.41582017,0.00971008,0.01226206
425.00000000,5.02042000,0.08283000,0.41584139,0.00982512,0.01240645
430.00000000,5.02061000,0.08281000,0.41575671,0.00994015,0.01255082
435.00000000,5.02085000,0.08279000,0.41567617,0.01005515,0.01269512
440.00000000,5.01979000,0.08275000,0.41538762,0.01017010,0.01283936
445.00000000,5.02003000,0.08276000,0.41545768,0.01028504,0.01298362
450.00000000,5.02026000,0.08276000,0.41547672,0.01039999,0.01312791
455.00000000,5.02108000,0.08275000,0.41549437,0.01051492,0.01327217
460.00000000,5.02104000,0.08273000,0.41539064,0.01062984,0.01341641
465.00000000,5.02100000,0.08271000,0.41528691,0.01074473,0.01356062
470.00000000,5.02143000,0.08270000,0.41527226,0.01085960,0.01370479
475.00000000,5.02081000,0.08269000,0.41517078,0.01097445,0.01384896
480.00000000,5.02104000,0.08272000,0.41534043,0.01108932,0.01399314
