# 0.2 sps, start/stop: 50/0 mA (5 s), channels: 5,,,
# V min: 5.01893, V max: 5.0246,,,,
# I min: 0.05424, I max: 0.08465,,,,
# P min: 0.27244101119999997, P max: 0.425093677,,,,
Time,Voltage,Current,Power,Capacity,Energy
0,5.02198,0.08401,0.42189654,0.00005834,0.00014646
5,5.02089,0.08399,0.42170455,0.00017501,0.00029292
10,5.02202,0.084,0.42184968,0.00029167,0.0004394
15,5.02229,0.08402,0.42197281,0.00040835,0.0005859
20,5.02159,0.08403,0.42196421,0.00052505,0.00073241
25,5.02143,0.08403,0.42195076,0.00064176,0.0008789
30,5.02085,0.08407,0.42210286,0.00075849,0.00102546
35,5.02061,0.08407,0.42208268,0.00087526,0.001172
40,5.02007,0.0841,0.42218789,0.00099204,0.00131862
45,5.02081,0.08409,0.42219991,0.00110884,0.00146519
50,5.02007,0.08413,0.42233849,0.00122566,0.00161183
55,5.01991,0.08414,0.42237523,0.00134251,0.00175851
60,5.02061,0.08418,0.42263495,0.0014594,0.00190527
65,5.02096,0.08414,0.42246357,0.00157629,0.00205193
70,5.01995,0.08417,0.42252919,0.00169317,0.00219868
75,5.02116,0.08419,0.42273146,0.00181009,0.00234543
80,5.02022,0.08421,0.42275273,0.00192703,0.00249226
85,5.02147,0.08421,0.42285799,0.00204399,0.00263902
90,5.0194,0.08424,0.42283426,0.00216097,0.00278586
95,5.02018,0.08422,0.42279956,0.00227796,0.00293267
100,5.02038,0.08424,0.42291681,0.00239494,0.00307949
105,5.01948,0.08425,0.42289119,0.00251195,0.00322634
110,5.01995,0.08429,0.42313159,0.00262899,0.00337327
115,5.02003,0.08428,0.42308813,0.00274606,0.00352016
120,5.01968,0.08431,0.42320922,0.00286313,0.00366714
125,5.02061,0.0843,0.42323742,0.00298022,0.00381409
130,5.02057,0.08435,0.42348508,0.00309734,0.00396115
135,5.02112,0.08435,0.42353147,0.00321449,0.00410819
140,5.0205,0.08435,0.42347917,0.00333165,0.00425524
145,5.02057,0.08436,0.42353529,0.00344881,0.00440231
150,5.02085,0.0844,0.42375974,0.003566,0.00454945
155,5.02116,0.08434,0.42348463,0.00368318,0.0046965
160,5.02132,0.08437,0.42364877,0.00380034,0.00484359
165,5.02096,0.08441,0.42381923,0.00391755,0.00499077
170,5.02171,0.08435,0.42358124,0.00403474,0.00513781
175,5.02034,0.0844,0.4237167,0.00415193,0.00528493
180,5.02018,0.08438,0.42360279,0.00426914,0.00543204
185,5.02104,0.08438,0.42367536,0.00438633,0.00557916
190,5.02143,0.0844,0.42380869,0.00450354,0.00572629
