# 0.2 sps, start/stop: 50/0 mA (5 s), channels: 4,,
# V min: 5.01683, V max: 5.02452,,,
# I min: 0.05477, I max: 0.08192,,,
Time,Voltage,Current,Capacity,Energy
0,5.02249,0.08079,0.0000561,0.00014084
5,5.02073,0.08096,0.00016843,0.00028197
10,5.02038,0.08102,0.00028092,0.0004232
15,5.02026,0.08109,0.00039349,0.00056455
20,5.02018,0.08107,0.0005061,0.00070586
25,5.02011,0.0811,0.00061872,0.00084721
30,5.01948,0.08111,0.00073137,0.00098859
35,5.02014,0.08114,0.00084404,0.00113001
40,5.01948,0.08117,0.00095676,0.00127146
45,5.0187,0.08121,0.00106952,0.00141301
50,5.01987,0.08122,0.00118232,0.00155458
55,5.01999,0.08124,0.00129514,0.00169617
60,5.01971,0.08131,0.00140802,0.00183795
65,5.02163,0.08128,0.00152093,0.00197966
70,5.0212,0.08132,0.00163385,0.00212139
75,5.0196,0.08131,0.00174678,0.00226311
80,5.01971,0.08133,0.00185973,0.00240489
85,5.02057,0.08134,0.00197269,0.00254668
90,5.02018,0.08134,0.00208567,0.00268846
95,5.02014,0.08138,0.00219867,0.00283028
100,5.01909,0.08141,0.00231172,0.0029722
105,5.02042,0.08143,0.0024248,0.00311412
110,5.01956,0.08146,0.00253792,0.00325611
115,5.01983,0.08142,0.00265103,0.00339804
120,5.02046,0.08143,0.00276412,0.00353996
125,5.0194,0.08144,0.00287722,0.00368193
130,5.0205,0.08146,0.00299035,0.00382391
135,5.01956,0.08145,0.00310348,0.00396587
140,5.0196,0.08145,0.0032166,0.00410783
145,5.01964,0.08148,0.00332975,0.00424987
150,5.02061,0.08149,0.00344292,0.00439194
155,5.02112,0.08152,0.00355612,0.00453403
160,5.01971,0.08152,0.00366935,0.00467611
165,5.01944,0.08153,0.00378258,0.00481819
170,5.01897,0.08153,0.00389581,0.0049603
175,5.01991,0.08152,0.00400904,0.00510237
180,5.01925,0.08152,0.00412226,0.00524445
185,5.0194,0.0815,0.00423547,0.00538652
190,5.02042,0.08152,0.00434868,0.00552861
195,5.02007,0.08156,0.00446193,0.00567079
200,5.02057,0.08151,0.00457517,0.00581286
205,5.01975,0.08153,0.0046884,0.00595497
210,5.01979,0.08159,0.00480167,0.00609718
215,5.01979,0.08153,0.00491495,0.00623931
220,5.02081,0.08159,0.00502823,0.00638155
225,5.02093,0.08161,0.00514156,0.00652382
230,5.0205,0.0816,0.0052549,0.00666608
235,5.02112,0.08164,0.00536826,0.00680842
240,5.0212,0.08163,0.00548165,0.00695072
245,5.02046,0.08164,0.00559503,0.00709305
250,5.02093,0.08165,0.00570842,0.0072354
255,5.0212,0.08166,0.00582183,0.00737776
260,5.02069,0.08164,0.00593524,0.00752009
