# 0.2 sps, start/stop: 50/0 mA (5 s), channels: 5,,,
# V min: 5.01929, V max: 5.02491,,,,
# I min: 0.05364, I max: 0.08306,,,,
# P min: 0.2693226852, P max: 0.4170965878,,,,
Time,Voltage,Current,Power,Capacity,Energy
0,5.02229,0.08237,0.41368603,0.0000572,0.00014365
5,5.02272,0.08244,0.41407304,0.00017165,0.00028743
10,5.02299,0.08244,0.4140953,0.00028615,0.00043119
15,5.0221,0.08244,0.41402192,0.00040065,0.00057497
20,5.02292,0.08248,0.41429044,0.00051518,0.00071884
25,5.02339,0.08249,0.41437944,0.00062974,0.00086268
30,5.02194,0.08251,0.41436027,0.00074433,0.00100659
35,5.02311,0.08251,0.41445681,0.00085892,0.00115048
40,5.02264,0.08253,0.41451848,0.00097353,0.00129444
45,5.02358,0.08251,0.41449559,0.00108815,0.00143837
50,5.02381,0.08256,0.41476575,0.00120278,0.00158238
55,5.02374,0.08253,0.41460926,0.00131742,0.00172632
60,5.02292,0.08256,0.41469228,0.00143207,0.0018703
65,5.02257,0.08256,0.41466338,0.00154674,0.00201425
70,5.02132,0.08254,0.41445975,0.00166139,0.00215818
75,5.02214,0.08256,0.41462788,0.00177604,0.00230214
80,5.02194,0.08257,0.41466159,0.00189072,0.00244615
85,5.02276,0.0826,0.41487998,0.00200542,0.00259021
90,5.0228,0.08259,0.41483305,0.00212013,0.00273422
95,5.02175,0.08261,0.41484677,0.00223485,0.00287829
100,5.02268,0.08261,0.41492359,0.00234959,0.00302234
105,5.02182,0.08262,0.41490277,0.00246433,0.00316643
110,5.02299,0.08265,0.41515012,0.0025791,0.00331056
115,5.02217,0.08266,0.41513257,0.0026939,0.00345471
120,5.02245,0.08266,0.41515572,0.00280871,0.00359886
125,5.0226,0.0827,0.41536902,0.00292354,0.00374309
130,5.0228,0.08272,0.41548602,0.00303842,0.00388737
135,5.0235,0.08273,0.41559416,0.00315331,0.00403171
140,5.02479,0.08276,0.41585162,0.00326824,0.00417606
145,5.02296,0.08276,0.41570017,0.00338318,0.00432038
150,5.02257,0.08276,0.41566789,0.00349812,0.00446473
155,5.02303,0.08276,0.41570596,0.00361307,0.00460904
160,5.02225,0.08276,0.41564141,0.00372801,0.00475339
165,5.02323,0.08276,0.41572251,0.00384296,0.00489773
170,5.02299,0.08275,0.41565242,0.0039579,0.00504205
175,5.02307,0.08276,0.41570927,0.00407283,0.00518635
180,5.02151,0.08279,0.41573081,0.0041878,0.00533067
185,5.0205,0.08278,0.41559699,0.00430278,0.00547499
190,5.02104,0.08279,0.4156919,0.00441776,0.00561929
195,5.01979,0.08279,0.41558841,0.00453274,0.00576361
200,5.02046,0.0828,0.41569409,0.00464774,0.00590794
205,5.02026,0.08281,0.41572773,0.00476274,0.00605229
210,5.02026,0.0828,0.41567753,0.00487775,0.00619666
215,5.02147,0.08281,0.41582793,0.00499276,0.00634102
220,5.02073,0.08281,0.41576665,0.00510777,0.00648539
225,5.02093,0.08281,0.41578321,0.00522278,0.00662975
230,5.0205,0.08283,0.41584802,0.00533781,0.00677415
235,5.02081,0.08282,0.41582348,0.00545285,0.00691851
240,5.01991,0.08283,0.41579915,0.00556788,0.00706288
245,5.01971,0.08282,0.41573238,0.00568292,0.00720725
250,5.02057,0.08283,0.41585381,0.00579795,0.00735166
255,5.02093,0.08284,0.41593384,0.005913,0.00749609
260,5.02128,0.08285,0.41601305,0.00602806,0.00764052
265,5.02081,0.08285,0.41597411,0.00614313,0.00778495
270,5.02077,0.08285,0.41597079,0.0062582,0.00792938
275,5.02046,0.08286,0.41599532,0.00637328,0.00807381
280,5.02018,0.08285,0.41592191,0.00648835,0.00821825
285,5.02081,0.08283,0.41587369,0.00660341,0.00836261
290,5.01948,0.08283,0.41576353,0.00671845,0.00850698
295,5.01952,0.08284,0.41581704,0.0068335,0.00865136
