algorithm,trunc_bits,repetition,target_message,target_hex,candidate_length_bytes,search_mode,lanes_per_rep,found,trials,expected_trials,log2_trials,ratio_to_expected,seconds,matched_hex,candidate_counter,candidate_hex
SHA-3-256,8,0,"TRUNCATED_PREIMAGE_TARGET_001|rep=0",0xb3,8,dynamic_work_stealing,0,yes,245,256,7.936638,0.95703125,0.000495,0xb3,244,f400000000000000
SHA-3-256,8,4,"TRUNCATED_PREIMAGE_TARGET_001|rep=4",0x1d,8,dynamic_work_stealing,0,yes,72,256,6.169925,0.28125000,0.000547,0x1d,71,4700000000000000
SHA-3-256,8,2,"TRUNCATED_PREIMAGE_TARGET_001|rep=2",0xb3,8,dynamic_work_stealing,0,yes,245,256,7.936638,0.95703125,0.000754,0xb3,244,f400000000000000
SHA-3-256,8,9,"TRUNCATED_PREIMAGE_TARGET_001|rep=9",0x44,8,dynamic_work_stealing,0,yes,59,256,5.882643,0.23046875,0.000928,0x44,58,3a00000000000000
SHA-3-256,8,1,"TRUNCATED_PREIMAGE_TARGET_001|rep=1",0xc7,8,dynamic_work_stealing,0,yes,334,256,8.383704,1.30468750,0.000817,0xc7,333,4d01000000000000
SHA-3-256,8,3,"TRUNCATED_PREIMAGE_TARGET_001|rep=3",0x28,8,dynamic_work_stealing,0,yes,295,256,8.204571,1.15234375,0.000900,0x28,294,2601000000000000
SHA-3-256,8,5,"TRUNCATED_PREIMAGE_TARGET_001|rep=5",0x8a,8,dynamic_work_stealing,0,yes,506,256,8.982994,1.97656250,0.001068,0x8a,505,f901000000000000
SHA-3-256,8,14,"TRUNCATED_PREIMAGE_TARGET_001|rep=14",0x6e,8,dynamic_work_stealing,0,yes,71,256,6.149747,0.27734375,0.001150,0x6e,70,4600000000000000
SHA-3-256,8,18,"TRUNCATED_PREIMAGE_TARGET_001|rep=18",0x67,8,dynamic_work_stealing,0,yes,14,256,3.807355,0.05468750,0.001175,0x67,13,0d00000000000000
SHA-3-256,8,12,"TRUNCATED_PREIMAGE_TARGET_001|rep=12",0x4c,8,dynamic_work_stealing,0,yes,76,256,6.247928,0.29687500,0.001199,0x4c,75,4b00000000000000
SHA-3-256,8,10,"TRUNCATED_PREIMAGE_TARGET_001|rep=10",0xb2,8,dynamic_work_stealing,0,yes,194,256,7.599913,0.75781250,0.001247,0xb2,193,c100000000000000
SHA-3-256,8,23,"TRUNCATED_PREIMAGE_TARGET_001|rep=23",0x97,8,dynamic_work_stealing,0,yes,5,256,2.321928,0.01953125,0.001244,0x97,4,0400000000000000
SHA-3-256,8,15,"TRUNCATED_PREIMAGE_TARGET_001|rep=15",0x81,8,dynamic_work_stealing,0,yes,157,256,7.294621,0.61328125,0.001363,0x81,156,9c00000000000000
SHA-3-256,8,13,"TRUNCATED_PREIMAGE_TARGET_001|rep=13",0x1b,8,dynamic_work_stealing,0,yes,244,256,7.930737,0.95312500,0.001327,0x1b,243,f300000000000000
SHA-3-256,8,24,"TRUNCATED_PREIMAGE_TARGET_001|rep=24",0x8b,8,dynamic_work_stealing,0,yes,87,256,6.442943,0.33984375,0.001415,0x8b,86,5600000000000000
SHA-3-256,8,7,"TRUNCATED_PREIMAGE_TARGET_001|rep=7",0x02,8,dynamic_work_stealing,0,yes,311,256,8.280771,1.21484375,0.001319,0x02,310,3601000000000000
SHA-3-256,8,21,"TRUNCATED_PREIMAGE_TARGET_001|rep=21",0xe4,8,dynamic_work_stealing,0,yes,288,256,8.169925,1.12500000,0.001528,0xe4,287,1f01000000000000
SHA-3-256,8,11,"TRUNCATED_PREIMAGE_TARGET_001|rep=11",0xad,8,dynamic_work_stealing,0,yes,131,256,7.033423,0.51171875,0.001379,0xad,130,8200000000000000
SHA-3-256,8,25,"TRUNCATED_PREIMAGE_TARGET_001|rep=25",0xff,8,dynamic_work_stealing,0,yes,54,256,5.754888,0.21093750,0.001390,0xff,53,3500000000000000
SHA-3-256,8,34,"TRUNCATED_PREIMAGE_TARGET_001|rep=34",0x47,8,dynamic_work_stealing,0,yes,9,256,3.169925,0.03515625,0.001582,0x47,8,0800000000000000
SHA-3-256,8,6,"TRUNCATED_PREIMAGE_TARGET_001|rep=6",0x7c,8,dynamic_work_stealing,0,yes,526,256,9.038919,2.05468750,0.001467,0x7c,525,0d02000000000000
SHA-3-256,8,39,"TRUNCATED_PREIMAGE_TARGET_001|rep=39",0xfe,8,dynamic_work_stealing,0,yes,18,256,4.169925,0.07031250,0.001683,0xfe,17,1100000000000000
SHA-3-256,8,16,"TRUNCATED_PREIMAGE_TARGET_001|rep=16",0x62,8,dynamic_work_stealing,0,yes,286,256,8.159871,1.11718750,0.001595,0x62,285,1d01000000000000
SHA-3-256,8,35,"TRUNCATED_PREIMAGE_TARGET_001|rep=35",0x2c,8,dynamic_work_stealing,0,yes,65,256,6.022368,0.25390625,0.001697,0x2c,64,4000000000000000
SHA-3-256,8,29,"TRUNCATED_PREIMAGE_TARGET_001|rep=29",0x14,8,dynamic_work_stealing,0,yes,316,256,8.303781,1.23437500,0.001810,0x14,315,3b01000000000000
SHA-3-256,8,20,"TRUNCATED_PREIMAGE_TARGET_001|rep=20",0x69,8,dynamic_work_stealing,0,yes,497,256,8.957102,1.94140625,0.001848,0x69,496,f001000000000000
SHA-3-256,8,45,"TRUNCATED_PREIMAGE_TARGET_001|rep=45",0x4a,8,dynamic_work_stealing,0,yes,30,256,4.906891,0.11718750,0.001896,0x4a,29,1d00000000000000
SHA-3-256,8,43,"TRUNCATED_PREIMAGE_TARGET_001|rep=43",0x33,8,dynamic_work_stealing,0,yes,56,256,5.807355,0.21875000,0.001936,0x33,55,3700000000000000
SHA-3-256,8,33,"TRUNCATED_PREIMAGE_TARGET_001|rep=33",0x4f,8,dynamic_work_stealing,0,yes,344,256,8.426265,1.34375000,0.001946,0x4f,343,5701000000000000
SHA-3-256,8,32,"TRUNCATED_PREIMAGE_TARGET_001|rep=32",0xa1,8,dynamic_work_stealing,0,yes,266,256,8.055282,1.03906250,0.001951,0xa1,265,0901000000000000
SHA-3-256,8,30,"TRUNCATED_PREIMAGE_TARGET_001|rep=30",0x8e,8,dynamic_work_stealing,0,yes,542,256,9.082149,2.11718750,0.002068,0x8e,541,1d02000000000000
SHA-3-256,8,27,"TRUNCATED_PREIMAGE_TARGET_001|rep=27",0x92,8,dynamic_work_stealing,0,yes,394,256,8.622052,1.53906250,0.002077,0x92,393,8901000000000000
SHA-3-256,8,26,"TRUNCATED_PREIMAGE_TARGET_001|rep=26",0xa0,8,dynamic_work_stealing,0,yes,503,256,8.974415,1.96484375,0.002085,0xa0,4107,0b10000000000000
SHA-3-256,8,17,"TRUNCATED_PREIMAGE_TARGET_001|rep=17",0xb7,8,dynamic_work_stealing,0,yes,482,256,8.912889,1.88281250,0.001992,0xb7,4096,0010000000000000
SHA-3-256,8,8,"TRUNCATED_PREIMAGE_TARGET_001|rep=8",0xee,8,dynamic_work_stealing,0,yes,717,256,9.485829,2.80078125,0.001989,0xee,8209,1120000000000000
SHA-3-256,8,46,"TRUNCATED_PREIMAGE_TARGET_001|rep=46",0xdb,8,dynamic_work_stealing,0,yes,292,256,8.189825,1.14062500,0.002183,0xdb,4112,1010000000000000
SHA-3-256,8,49,"TRUNCATED_PREIMAGE_TARGET_001|rep=49",0xc1,8,dynamic_work_stealing,0,yes,149,256,7.219169,0.58203125,0.002102,0xc1,148,9400000000000000
SHA-3-256,8,31,"TRUNCATED_PREIMAGE_TARGET_001|rep=31",0x7f,8,dynamic_work_stealing,0,yes,412,256,8.686501,1.60937500,0.002138,0x7f,4133,2510000000000000
SHA-3-256,8,28,"TRUNCATED_PREIMAGE_TARGET_001|rep=28",0x76,8,dynamic_work_stealing,0,yes,407,256,8.668885,1.58984375,0.002121,0x76,16394,0a40000000000000
SHA-3-256,8,38,"TRUNCATED_PREIMAGE_TARGET_001|rep=38",0x21,8,dynamic_work_stealing,0,yes,960,256,9.906891,3.75000000,0.002316,0x21,28740,4470000000000000
SHA-3-256,8,19,"TRUNCATED_PREIMAGE_TARGET_001|rep=19",0x03,8,dynamic_work_stealing,0,yes,519,256,9.019591,2.02734375,0.002003,0x03,4100,0410000000000000
SHA-3-256,8,36,"TRUNCATED_PREIMAGE_TARGET_001|rep=36",0x36,8,dynamic_work_stealing,0,yes,439,256,8.778077,1.71484375,0.002162,0x36,16407,1740000000000000
SHA-3-256,8,41,"TRUNCATED_PREIMAGE_TARGET_001|rep=41",0xa4,8,dynamic_work_stealing,0,yes,423,256,8.724514,1.65234375,0.002323,0xa4,20480,0050000000000000
SHA-3-256,8,47,"TRUNCATED_PREIMAGE_TARGET_001|rep=47",0x73,8,dynamic_work_stealing,0,yes,715,256,9.481799,2.79296875,0.002381,0x73,8212,1420000000000000
SHA-3-256,8,22,"TRUNCATED_PREIMAGE_TARGET_001|rep=22",0x99,8,dynamic_work_stealing,0,yes,474,256,8.888743,1.85156250,0.002063,0x99,24581,0560000000000000
SHA-3-256,8,37,"TRUNCATED_PREIMAGE_TARGET_001|rep=37",0x9c,8,dynamic_work_stealing,0,yes,289,256,8.174926,1.12890625,0.002214,0x9c,194,c200000000000000
SHA-3-256,8,44,"TRUNCATED_PREIMAGE_TARGET_001|rep=44",0x99,8,dynamic_work_stealing,0,yes,596,256,9.219169,2.32812500,0.002337,0x99,24581,0560000000000000
SHA-3-256,8,48,"TRUNCATED_PREIMAGE_TARGET_001|rep=48",0x61,8,dynamic_work_stealing,0,yes,560,256,9.129283,2.18750000,0.002400,0x61,69636,0410010000000000
SHA-3-256,8,40,"TRUNCATED_PREIMAGE_TARGET_001|rep=40",0x02,8,dynamic_work_stealing,0,yes,393,256,8.618386,1.53515625,0.002208,0x02,4135,2710000000000000
SHA-3-256,8,42,"TRUNCATED_PREIMAGE_TARGET_001|rep=42",0xad,8,dynamic_work_stealing,0,yes,131,256,7.033423,0.51171875,0.002082,0xad,130,8200000000000000
SHA-3-256,16,7,"TRUNCATED_PREIMAGE_TARGET_001|rep=7",0x025b,8,dynamic_work_stealing,0,yes,2774,65536,11.437752,0.04232788,0.003062,0x025b,2773,d50a000000000000
SHA-3-256,16,34,"TRUNCATED_PREIMAGE_TARGET_001|rep=34",0x4768,8,dynamic_work_stealing,0,yes,1048,65536,10.033423,0.01599121,0.003345,0x4768,1047,1704000000000000
SHA-3-256,16,9,"TRUNCATED_PREIMAGE_TARGET_001|rep=9",0x4479,8,dynamic_work_stealing,0,yes,2879,65536,11.491352,0.04393005,0.004583,0x4479,2878,3e0b000000000000
SHA-3-256,16,30,"TRUNCATED_PREIMAGE_TARGET_001|rep=30",0x8e07,8,dynamic_work_stealing,0,yes,1403,65536,10.454299,0.02140808,0.004667,0x8e07,1402,7a05000000000000
SHA-3-256,16,0,"TRUNCATED_PREIMAGE_TARGET_001|rep=0",0xb32b,8,dynamic_work_stealing,0,yes,6796,65536,12.730470,0.10369873,0.005284,0xb32b,7308,8c1c000000000000
SHA-3-256,16,20,"TRUNCATED_PREIMAGE_TARGET_001|rep=20",0x6900,8,dynamic_work_stealing,0,yes,2883,65536,11.493355,0.04399109,0.005603,0x6900,2882,420b000000000000
SHA-3-256,16,23,"TRUNCATED_PREIMAGE_TARGET_001|rep=23",0x97bc,8,dynamic_work_stealing,0,yes,4767,65536,12.218866,0.07273865,0.006885,0x97bc,4766,9e12000000000000
SHA-3-256,16,27,"TRUNCATED_PREIMAGE_TARGET_001|rep=27",0x92e8,8,dynamic_work_stealing,0,yes,7855,65536,12.939396,0.11985779,0.010883,0x92e8,7728,301e000000000000
SHA-3-256,16,24,"TRUNCATED_PREIMAGE_TARGET_001|rep=24",0x8b7e,8,dynamic_work_stealing,0,yes,9569,65536,13.224152,0.14601135,0.011163,0x8b7e,13104,3033000000000000
SHA-3-256,16,44,"TRUNCATED_PREIMAGE_TARGET_001|rep=44",0x998a,8,dynamic_work_stealing,0,yes,9254,65536,13.175861,0.14120483,0.013004,0x998a,9253,2524000000000000
SHA-3-256,16,46,"TRUNCATED_PREIMAGE_TARGET_001|rep=46",0xdb2c,8,dynamic_work_stealing,0,yes,10341,65536,13.336088,0.15779114,0.014359,0xdb2c,10340,6428000000000000
SHA-3-256,16,17,"TRUNCATED_PREIMAGE_TARGET_001|rep=17",0xb7ad,8,dynamic_work_stealing,0,yes,14227,65536,13.796344,0.21708679,0.015295,0xb7ad,14226,9237000000000000
SHA-3-256,16,21,"TRUNCATED_PREIMAGE_TARGET_001|rep=21",0xe47f,8,dynamic_work_stealing,0,yes,30721,65536,14.906938,0.46876526,0.018409,0xe47f,34063,0f85000000000000
SHA-3-256,16,31,"TRUNCATED_PREIMAGE_TARGET_001|rep=31",0x7f7f,8,dynamic_work_stealing,0,yes,30674,65536,14.904729,0.46804810,0.019511,0x7f7f,33706,aa83000000000000
SHA-3-256,16,37,"TRUNCATED_PREIMAGE_TARGET_001|rep=37",0x9c1d,8,dynamic_work_stealing,0,yes,15859,65536,13.953014,0.24198914,0.019531,0x9c1d,15655,273d000000000000
SHA-3-256,16,47,"TRUNCATED_PREIMAGE_TARGET_001|rep=47",0x737b,8,dynamic_work_stealing,0,yes,21210,65536,14.372457,0.32363892,0.020324,0x737b,25490,9263000000000000
SHA-3-256,16,15,"TRUNCATED_PREIMAGE_TARGET_001|rep=15",0x8189,8,dynamic_work_stealing,0,yes,20901,65536,14.351284,0.31892395,0.021791,0x8189,20284,3c4f000000000000
SHA-3-256,16,35,"TRUNCATED_PREIMAGE_TARGET_001|rep=35",0x2c20,8,dynamic_work_stealing,0,yes,36602,65536,15.159635,0.55850220,0.022673,0x2c20,41001,29a0000000000000
SHA-3-256,16,39,"TRUNCATED_PREIMAGE_TARGET_001|rep=39",0xfe9c,8,dynamic_work_stealing,0,yes,21226,65536,14.373545,0.32388306,0.024034,0xfe9c,20134,a64e000000000000
SHA-3-256,16,10,"TRUNCATED_PREIMAGE_TARGET_001|rep=10",0xb2e6,8,dynamic_work_stealing,0,yes,44025,65536,15.426035,0.67176819,0.024863,0xb2e6,49479,47c1000000000000
SHA-3-256,16,45,"TRUNCATED_PREIMAGE_TARGET_001|rep=45",0x4af8,8,dynamic_work_stealing,0,yes,31843,65536,14.958689,0.48588562,0.024952,0x4af8,30310,6676000000000000
SHA-3-256,16,4,"TRUNCATED_PREIMAGE_TARGET_001|rep=4",0x1d7a,8,dynamic_work_stealing,0,yes,25012,65536,14.610333,0.38165283,0.024983,0x1d7a,25344,0063000000000000
SHA-3-256,16,3,"TRUNCATED_PREIMAGE_TARGET_001|rep=3",0x2829,8,dynamic_work_stealing,0,yes,26536,65536,14.695663,0.40490723,0.025515,0x2829,26535,a767000000000000
SHA-3-256,16,48,"TRUNCATED_PREIMAGE_TARGET_001|rep=48",0x611c,8,dynamic_work_stealing,0,yes,31297,65536,14.933737,0.47755432,0.026366,0x611c,23104,405a000000000000
SHA-3-256,16,8,"TRUNCATED_PREIMAGE_TARGET_001|rep=8",0xee34,8,dynamic_work_stealing,0,yes,66634,65536,16.023971,1.01675415,0.035346,0xee34,64057,39fa000000000000
SHA-3-256,16,26,"TRUNCATED_PREIMAGE_TARGET_001|rep=26",0xa09b,8,dynamic_work_stealing,0,yes,36522,65536,15.156478,0.55728149,0.038519,0xa09b,37313,c191000000000000
SHA-3-256,16,36,"TRUNCATED_PREIMAGE_TARGET_001|rep=36",0x3637,8,dynamic_work_stealing,0,yes,62024,65536,15.920539,0.94641113,0.039819,0x3637,53203,d3cf000000000000
SHA-3-256,16,11,"TRUNCATED_PREIMAGE_TARGET_001|rep=11",0xad82,8,dynamic_work_stealing,0,yes,66455,65536,16.020090,1.01402283,0.040048,0xad82,68166,460a010000000000
SHA-3-256,16,49,"TRUNCATED_PREIMAGE_TARGET_001|rep=49",0xc16c,8,dynamic_work_stealing,0,yes,101234,65536,16.627334,1.54470825,0.040533,0xc16c,107438,aea3010000000000
SHA-3-256,16,1,"TRUNCATED_PREIMAGE_TARGET_001|rep=1",0xc7dc,8,dynamic_work_stealing,0,yes,102484,65536,16.645039,1.56378174,0.045547,0xc7dc,100128,2087010000000000
