algorithm,trunc_bits,repetition,target_message,target_hex,candidate_length_bytes,search_mode,lanes_per_rep,found,trials,expected_trials,log2_trials,ratio_to_expected,seconds,matched_hex,candidate_counter,candidate_hex
VSH-256,8,1,TRUNCATED_PREIMAGE_TARGET_001|rep=1,0xf0,8,parallel_disjoint_chunked,1,yes,130911,256,16.998227,511.3710938,0.048276,0xf0,130910,5eff010000000000
VSH-256,8,20,TRUNCATED_PREIMAGE_TARGET_001|rep=20,0x57,8,parallel_disjoint_chunked,1,yes,122816,256,16.906139,479.75,0.044431,0x57,122815,bfdf010000000000
VSH-256,8,3,TRUNCATED_PREIMAGE_TARGET_001|rep=3,0xf2,8,parallel_disjoint_chunked,1,yes,130944,256,16.99859,511.5,0.049157,0xf2,130943,7fff010000000000
VSH-256,8,13,TRUNCATED_PREIMAGE_TARGET_001|rep=13,0xe8,8,parallel_disjoint_chunked,1,yes,131055,256,16.999813,511.9335938,0.048196,0xe8,131054,eeff010000000000
VSH-256,8,35,TRUNCATED_PREIMAGE_TARGET_001|rep=35,0x0e,8,parallel_disjoint_chunked,1,yes,130960,256,16.998767,511.5625,0.046285,0x0e,130959,8fff010000000000
VSH-256,8,40,TRUNCATED_PREIMAGE_TARGET_001|rep=40,0x99,8,parallel_disjoint_chunked,1,yes,122880,256,16.906891,480,0.044002,0x99,122879,ffdf010000000000
VSH-256,8,26,TRUNCATED_PREIMAGE_TARGET_001|rep=26,0x5e,8,parallel_disjoint_chunked,1,yes,98112,256,16.582142,383.25,0.059468,0x5e,98111,3f7f010000000000
VSH-256,8,41,TRUNCATED_PREIMAGE_TARGET_001|rep=41,0x5e,8,parallel_disjoint_chunked,1,yes,98112,256,16.582142,383.25,0.058758,0x5e,98111,3f7f010000000000
VSH-256,8,42,TRUNCATED_PREIMAGE_TARGET_001|rep=42,0x27,8,parallel_disjoint_chunked,1,yes,98300,256,16.584904,383.984375,0.059115,0x27,98299,fb7f010000000000
VSH-256,8,4,TRUNCATED_PREIMAGE_TARGET_001|rep=4,0x45,8,parallel_disjoint_chunked,1,yes,114688,256,16.807355,448,0.068421,0x45,114687,ffbf010000000000
VSH-256,8,7,TRUNCATED_PREIMAGE_TARGET_001|rep=7,0xfb,8,parallel_disjoint_chunked,1,yes,196472,256,17.583964,767.46875,0.070853,0xfb,196471,77ff020000000000
VSH-256,8,9,TRUNCATED_PREIMAGE_TARGET_001|rep=9,0x9b,8,parallel_disjoint_chunked,1,yes,196496,256,17.58414,767.5625,0.070755,0x9b,196495,8fff020000000000
VSH-256,8,15,TRUNCATED_PREIMAGE_TARGET_001|rep=15,0x8a,8,parallel_disjoint_chunked,1,yes,196414,256,17.583538,767.2421875,0.072117,0x8a,196413,3dff020000000000
VSH-256,8,2,TRUNCATED_PREIMAGE_TARGET_001|rep=2,0x8d,8,parallel_disjoint_chunked,1,yes,122864,256,16.906703,479.9375,0.075084,0x8d,122863,efdf010000000000
VSH-256,8,11,TRUNCATED_PREIMAGE_TARGET_001|rep=11,0x57,8,parallel_disjoint_chunked,1,yes,122816,256,16.906139,479.75,0.076467,0x57,122815,bfdf010000000000
VSH-256,8,19,TRUNCATED_PREIMAGE_TARGET_001|rep=19,0xff,8,parallel_disjoint_chunked,1,yes,131062,256,16.99989,511.9609375,0.075795,0xff,131061,f5ff010000000000
VSH-256,8,24,TRUNCATED_PREIMAGE_TARGET_001|rep=24,0x17,8,parallel_disjoint_chunked,1,yes,122872,256,16.906797,479.96875,0.077139,0x17,122871,f7df010000000000
VSH-256,8,34,TRUNCATED_PREIMAGE_TARGET_001|rep=34,0x3c,8,parallel_disjoint_chunked,1,yes,130879,256,16.997874,511.2460938,0.075633,0x3c,130878,3eff010000000000
VSH-256,8,32,TRUNCATED_PREIMAGE_TARGET_001|rep=32,0xee,8,parallel_disjoint_chunked,1,yes,212992,256,17.70044,832,0.077097,0xee,212991,ff3f030000000000
VSH-256,8,14,TRUNCATED_PREIMAGE_TARGET_001|rep=14,0x2a,8,parallel_disjoint_chunked,1,yes,131072,256,17,512,0.080643,0x2a,131071,ffff010000000000
VSH-256,8,31,TRUNCATED_PREIMAGE_TARGET_001|rep=31,0xdb,8,parallel_disjoint_chunked,1,yes,221180,256,17.754861,863.984375,0.07817,0xdb,221179,fb5f030000000000
VSH-256,8,28,TRUNCATED_PREIMAGE_TARGET_001|rep=28,0x2a,8,parallel_disjoint_chunked,1,yes,131072,256,17,512,0.079529,0x2a,131071,ffff010000000000
VSH-256,8,29,TRUNCATED_PREIMAGE_TARGET_001|rep=29,0x92,8,parallel_disjoint_chunked,1,yes,130016,256,16.98833,507.875,0.080387,0x92,130015,dffb010000000000
