algorithm,trunc_bits,repetition,found,collision_index,hash_evaluations,ratio_to_expected
VSH-256,16,3,yes,55.0,308.0,0.17142051
VSH-256,16,31,yes,36.0,169.0,0.11220252
VSH-256,16,8,yes,152.0,703.0,0.47374396
VSH-256,16,1,yes,265.0,1277.0,0.82593519
VSH-256,16,14,yes,204.0,930.0,0.63581426
VSH-256,16,27,yes,134.0,612.0,0.4176427
VSH-256,16,22,yes,109.0,632.0,0.33972429
VSH-256,16,11,yes,383.0,1840.0,1.1937101
VSH-256,16,37,yes,240.0,1136.0,0.74801678
VSH-256,16,25,yes,118.0,802.0,0.36777491
VSH-256,16,34,yes,130.0,606.0,0.40517575
VSH-256,16,4,yes,452.0,2512.0,1.40876493
VSH-256,16,47,yes,87.0,412.0,0.27115608
VSH-256,16,5,yes,360.0,2032.0,1.12202516
VSH-256,16,46,yes,65.0,321.0,0.20258788
VSH-256,16,44,yes,283.0,1297.0,0.88203645
VSH-256,16,23,yes,199.0,938.0,0.62023058
VSH-256,16,48,yes,129.0,857.0,0.40205902
VSH-256,16,2,yes,501.0,2412.0,1.56148502
VSH-256,16,49,yes,98.0,612.0,0.30544018
VSH-256,16,35,yes,221.0,1276.0,0.68879878
VSH-256,16,28,yes,246.0,1408.0,0.7667172
VSH-256,16,20,yes,527.0,2542.0,1.64252017
VSH-256,16,12,yes,605.0,2736.0,1.88562562
VSH-256,16,26,yes,228.0,1111.0,0.71061594
VSH-256,16,30,yes,236.0,1123.0,0.73554983
VSH-256,16,40,yes,122.0,598.0,0.38024186
VSH-256,16,33,yes,201.0,977.0,0.62646405
VSH-256,16,19,yes,309.0,1756.0,0.9630716
VSH-256,16,9,yes,548.0,2695.0,1.70797164
VSH-256,16,0,yes,459.0,2711.0,1.43058208
VSH-256,16,6,yes,472.0,2804.0,1.47109966
VSH-256,16,7,yes,481.0,2170.0,1.49915029
VSH-256,16,13,yes,333.0,1663.0,1.03787328
VSH-256,16,18,yes,372.0,2300.0,1.159426
VSH-256,16,24,yes,354.0,1696.0,1.10332474
VSH-256,16,15,yes,608.0,2936.0,1.89497583
VSH-256,16,32,yes,505.0,2386.0,1.57395197
VSH-256,16,10,yes,414.0,2888.0,1.29032894
VSH-256,16,38,yes,407.0,1909.0,1.26851178
VSH-256,16,17,yes,467.0,3493.0,1.45551598
VSH-256,16,16,yes,408.0,2019.0,1.27162852
VSH-256,16,36,yes,552.0,2587.0,1.72043858
VSH-256,16,45,yes,486.0,2819.0,1.51473397
VSH-256,16,21,yes,317.0,1427.0,0.98800549
VSH-256,16,39,yes,461.0,2241.0,1.43681556
VSH-256,16,42,yes,632.0,2963.0,1.96977751
VSH-256,16,43,yes,348.0,1575.0,1.08462432
VSH-256,16,29,yes,431.0,2624.0,1.34331346
VSH-256,16,41,yes,915.0,4523.0,2.85181396
VSH-256,24,22,yes,814.0,4780.0,0.15856397
VSH-256,24,47,yes,882.0,4310.0,0.1718101
VSH-256,24,13,yes,923.0,4179.0,0.17979674
VSH-256,24,19,yes,1668.0,10072.0,0.32491979
VSH-256,24,8,yes,2709.0,12964.0,0.52770246
VSH-256,24,49,yes,1088.0,7212.0,0.21193809
VSH-256,24,34,yes,1887.0,8644.0,0.36758012
VSH-256,24,44,yes,2418.0,10913.0,0.47101681
VSH-256,24,14,yes,1874.0,11157.0,0.36504777
VSH-256,24,30,yes,2538.0,12165.0,0.49439234
VSH-256,24,10,yes,3757.0,21734.0,0.7318487
