algorithm,trunc_bits,repetitions,success_count,expected_collision_steps,mean_collision_index,median_collision_index,min_collision_index,max_collision_index,stddev_collision_index,mean_ratio_to_expected,median_ratio_to_expected
VSH-256,16,50,50,320.84841915,333.30000000,340.50000000,36.00000000,915.00000000,185.57096118,1.03880830,1.06124880
VSH-256,24,50,50,5133.57470644,5067.32000000,5526.00000000,814.00000000,8844.00000000,2261.27617427,0.98709385,1.07644289
VSH-256,32,50,50,82137.19530311,77770.26000000,71015.50000000,18440.00000000,229565.00000000,39284.53846594,0.94683364,0.86459611
VSH-256,40,30,30,1314195.12484974,1332563.90000000,1273486.00000000,50474.00000000,3025567.00000000,868201.65776003,1.01397721,0.96902353
VSH-256,48,10,10,21027121.99759581,21006227.10000000,15698751.00000000,9302137.00000000,44623481.00000000,13095328.35572458,0.99900629,0.74659532
VSH-256,56,5,5,336433951.96153289,283089374.39999998,371035552.00000000,61876128.00000000,435285644.00000000,181736362.54687113,0.84144116,1.10284812
SpVSH-320,16,50,50,320.84841915,289.72000000,275.50000000,17.00000000,691.00000000,154.54198822,0.90298092,0.85866092
SpVSH-320,24,50,50,5133.57470644,5423.46000000,4623.50000000,568.00000000,14769.00000000,3177.34526725,1.05646851,0.90063947
SpVSH-320,32,50,50,82137.19530311,73897.74000000,60873.50000000,2052.00000000,245431.00000000,49988.76903980,0.89968667,0.74111978
SpVSH-320,40,30,30,1314195.12484974,1426379.50000000,1353002.50000000,298347.00000000,3042595.00000000,737713.02257794,1.08536356,1.02952939
SpVSH-320,48,10,10,21027121.99759581,21968321.30000000,20257778.50000000,2426086.00000000,39478342.00000000,11289306.49152221,1.04476120,0.96341185
SpVSH-320,56,5,5,336433951.96153289,405264810.39999998,533212119.00000000,84861183.00000000,545156208.00000000,201936818.77451146,1.20458951,1.58489390
SHA-3-256,16,50,50,320.84841915,288.32000000,270.00000000,26.00000000,679.00000000,174.94190756,0.89861749,0.84151887
SHA-3-256,24,50,50,5133.57470644,5587.66000000,5285.00000000,863.00000000,12792.00000000,2797.54006088,1.08845401,1.02949705
SHA-3-256,32,50,50,82137.19530311,85716.66000000,80238.00000000,15842.00000000,171848.00000000,37039.17120475,1.04357910,0.97687777
SHA-3-256,40,30,30,1314195.12484974,1426706.03333333,1231253.00000000,196939.00000000,2411190.00000000,657548.64795539,1.08561203,0.93688751
SHA-3-256,48,10,10,21027121.99759581,21155066.70000000,20866753.00000000,5946447.00000000,33341295.00000000,9086211.06517520,1.00608475,0.99237323
SHA-3-256,56,5,5,336433951.96153289,211686232.00000000,197611437.00000000,43770348.00000000,412037859.00000000,153865801.75830659,0.62920591,0.58737067
