algorithm,msg_bytes,iterations,avg_time_us,cycles_per_hash,cycles_per_byte,throughput_kb_s
VSH-256,16,10,1185.50,284520.00,17782.50,13.1801
VSH-256,128,5,8583.60,2060064.00,16094.25,14.5627
VSH-256,242,3,16162.33,3878960.00,16028.76,14.6222
VSH-256,1024,1,66874.00,16049760.00,15673.59,14.9535
SpVSH-320,0,2000,118.063,28335.12,28335.12,0.00
SpVSH-320,1,2000,120.768,28984.20,28984.20,8.09
SpVSH-320,16,2000,154.361,37046.64,2315.42,101.22
SpVSH-320,64,1000,258.919,62140.56,970.95,241.39
SpVSH-320,128,1000,391.895,94054.80,734.80,318.96
SpVSH-320,242,500,631.716,151611.84,626.50,374.11
SpVSH-320,256,500,663.796,159311.04,622.31,376.62
SpVSH-320,512,250,1210.008,290401.92,567.19,413.22
SpVSH-320,1024,250,2296.636,551192.64,538.27,435.42
SHA-3-256,16,1000,258.1080,61945.92,3871.62,60.5367
SHA-3-256,64,1000,258.2370,61976.88,968.39,242.0257
SHA-3-256,128,1000,258.4080,62017.92,484.52,483.7312
SHA-3-256,242,1000,515.1670,123640.08,510.91,458.7408
SHA-3-256,256,1000,515.1800,123643.20,482.98,485.2673
SHA-3-256,512,1000,1030.0410,247209.84,482.83,485.4176
SHA-3-256,1024,1000,2058.7380,494097.12,482.52,485.7345
