algorithm,msg_bytes,iterations,elapsed_s,avg_time_us,throughput_kb_s,cycles_per_byte,sketch_bytes
VSH-256,16,818,1.000023,1222.522,12.780956,18337.830,898224
VSH-256,64,230,1.004348,4366.730,14.312768,16375.239,898224
VSH-256,128,118,1.008279,8544.737,14.628887,16021.382,898224
VSH-256,242,62,1.006914,16240.548,14.551733,16106.329,898224
VSH-256,256,60,1.013152,16885.867,14.805281,15830.500,898224
VSH-256,512,30,1.007972,33599.067,14.881366,15749.563,898224
VSH-256,1024,16,1.065411,66588.187,15.017679,15606.606,898224
SpVSH-320,16,1000,0.154524,154.524,101.116979,2317.860,899280
SpVSH-320,64,1000,0.257438,257.438,242.776902,965.392,899280
SpVSH-320,128,1000,0.393371,393.371,317.766180,737.571,899280
SpVSH-320,242,1000,0.629086,629.086,375.669026,623.887,899280
SpVSH-320,256,1000,0.663207,663.207,376.956214,621.757,899280
SpVSH-320,512,829,1.000128,1206.427,414.446951,565.513,899280
SpVSH-320,1024,437,1.001945,2292.780,436.151685,537.370,899280
SHA-3-256,16,1000,0.258729,258.729,60.391375,3880.935,899408
SHA-3-256,64,1000,0.258869,258.869,241.434857,970.759,899408
SHA-3-256,128,1000,0.259038,259.038,482.554683,485.696,899408
SHA-3-256,242,1000,0.516139,516.139,457.876899,511.873,899408
SHA-3-256,256,1000,0.516157,516.157,484.348754,483.897,899408
SHA-3-256,512,971,1.000564,1030.447,485.226332,483.022,899408
SHA-3-256,1024,486,1.000598,2058.844,485.709546,482.541,899408
