algorithm,trunc_bits,repetition,found,trials,expected_trials,ratio_to_expected,log2_trials,seconds
VSH-256,8,1,yes,130911.0,256.0,511.3710938,16.998227,0.048276
VSH-256,8,20,yes,122816.0,256.0,479.75,16.906139,0.044431
VSH-256,8,3,yes,130944.0,256.0,511.5,16.99859,0.049157
VSH-256,8,13,yes,131055.0,256.0,511.9335938,16.999813,0.048196
VSH-256,8,35,yes,130960.0,256.0,511.5625,16.998767,0.046285
VSH-256,8,40,yes,122880.0,256.0,480.0,16.906891,0.044002
VSH-256,8,26,yes,98112.0,256.0,383.25,16.582142,0.059468
VSH-256,8,41,yes,98112.0,256.0,383.25,16.582142,0.058758
VSH-256,8,42,yes,98300.0,256.0,383.984375,16.584904,0.059115
VSH-256,8,4,yes,114688.0,256.0,448.0,16.807355,0.068421
VSH-256,8,7,yes,196472.0,256.0,767.46875,17.583964,0.070853
VSH-256,8,9,yes,196496.0,256.0,767.5625,17.58414,0.070755
VSH-256,8,15,yes,196414.0,256.0,767.2421875,17.583538,0.072117
VSH-256,8,2,yes,122864.0,256.0,479.9375,16.906703,0.075084
VSH-256,8,11,yes,122816.0,256.0,479.75,16.906139,0.076467
VSH-256,8,19,yes,131062.0,256.0,511.9609375,16.99989,0.075795
VSH-256,8,24,yes,122872.0,256.0,479.96875,16.906797,0.077139
VSH-256,8,34,yes,130879.0,256.0,511.2460938,16.997874,0.075633
VSH-256,8,32,yes,212992.0,256.0,832.0,17.70044,0.077097
VSH-256,8,14,yes,131072.0,256.0,512.0,17.0,0.080643
VSH-256,8,31,yes,221180.0,256.0,863.984375,17.754861,0.07817
VSH-256,8,28,yes,131072.0,256.0,512.0,17.0,0.079529
VSH-256,8,29,yes,130016.0,256.0,507.875,16.98833,0.080387
VSH-256,8,18,yes,130960.0,256.0,511.5625,16.998767,0.084033
VSH-256,8,27,yes,228348.0,256.0,891.984375,17.800875,0.082059
VSH-256,8,47,yes,130990.0,256.0,511.6796875,16.999097,0.078931
VSH-256,8,36,yes,228224.0,256.0,891.5,17.800091,0.082433
VSH-256,8,17,yes,188384.0,256.0,735.875,17.523317,0.094389
VSH-256,8,21,yes,260736.0,256.0,1018.5,17.99223,0.094984
VSH-256,8,22,yes,180160.0,256.0,703.75,17.458919,0.097698
VSH-256,8,37,yes,180160.0,256.0,703.75,17.458919,0.096222
VSH-256,8,23,yes,196408.0,256.0,767.21875,17.583494,0.100753
VSH-256,8,44,yes,228224.0,256.0,891.5,17.800091,0.102608
VSH-256,8,46,yes,194528.0,256.0,759.875,17.569618,0.10384
VSH-256,8,0,yes,241568.0,256.0,943.625,17.88207,0.113127
VSH-256,8,38,yes,196602.0,256.0,767.9765625,17.584918,0.108755
VSH-256,8,25,yes,228160.0,256.0,891.25,17.799686,0.112099
VSH-256,8,5,yes,228832.0,256.0,893.875,17.803929,0.117391
VSH-256,8,30,yes,251776.0,256.0,983.5,17.941781,0.114476
VSH-256,8,8,yes,196384.0,256.0,767.125,17.583318,0.120566
VSH-256,8,45,yes,188384.0,256.0,735.875,17.523317,0.115604
VSH-256,8,12,yes,245690.0,256.0,959.7265625,17.90648,0.122977
VSH-256,8,16,yes,241568.0,256.0,943.625,17.88207,0.122874
VSH-256,8,48,yes,188352.0,256.0,735.75,17.523072,0.117345
VSH-256,8,39,yes,257919.0,256.0,1007.496094,17.976559,0.12487
VSH-256,8,43,yes,212944.0,256.0,831.8125,17.700115,0.126552
VSH-256,8,6,yes,229231.0,256.0,895.4335938,17.806443,0.137044
VSH-256,8,10,yes,225279.0,256.0,879.9960938,17.781353,0.138616
VSH-256,8,33,yes,262004.0,256.0,1023.453125,17.999229,0.143707
VSH-256,8,49,yes,253632.0,256.0,990.75,17.952377,0.144132
VSH-256,16,6,yes,487038.0,65536.0,7.43161011,18.893675,0.199879
VSH-256,16,22,yes,384912.0,65536.0,5.87329102,18.554169,0.238436
VSH-256,16,3,yes,785767.0,65536.0,11.98985291,19.583742,0.285685
VSH-256,16,41,yes,450335.0,65536.0,6.87156677,18.780639,0.284506
VSH-256,16,19,yes,749360.0,65536.0,11.43432617,19.515299,0.292746
VSH-256,16,20,yes,785276.0,65536.0,11.98236084,19.58284,0.300058
VSH-256,16,28,yes,915996.0,65536.0,13.97698975,19.804982,0.330694
VSH-256,16,44,yes,523980.0,65536.0,7.99530029,18.999152,0.331961
VSH-256,16,1,yes,999060.0,65536.0,15.2444458,19.930212,0.369578
VSH-256,16,9,yes,1006909.0,65536.0,15.36421204,19.941502,0.372508
VSH-256,16,18,yes,1038133.0,65536.0,15.84065247,19.98556,0.379592
VSH-256,16,10,yes,1035755.0,65536.0,15.80436707,19.982251,0.385265
VSH-256,16,25,yes,634872.0,65536.0,9.68737793,19.276106,0.405373
VSH-256,16,49,yes,903968.0,65536.0,13.79345703,19.785912,0.431982
VSH-256,16,26,yes,1212096.0,65536.0,18.49511719,20.209073,0.44661
VSH-256,16,8,yes,1211296.0,65536.0,18.48291016,20.20812,0.450496
VSH-256,16,47,yes,917188.0,65536.0,13.99517822,19.806858,0.473151
VSH-256,16,14,yes,916230.0,65536.0,13.9805603,19.80535,0.475956
VSH-256,16,2,yes,1259440.0,65536.0,19.2175293,20.264351,0.47947
VSH-256,16,5,yes,945998.0,65536.0,14.43478394,19.851478,0.480737
VSH-256,16,43,yes,849914.0,65536.0,12.96865845,19.696957,0.492446
VSH-256,16,17,yes,966255.0,65536.0,14.74388123,19.882044,0.498145
VSH-256,16,16,yes,966422.0,65536.0,14.74642944,19.882294,0.499226
VSH-256,16,4,yes,785298.0,65536.0,11.98269653,19.582881,0.500705
VSH-256,16,40,yes,907261.0,65536.0,13.84370422,19.791158,0.51295
VSH-256,16,11,yes,1113472.0,65536.0,16.99023438,20.086634,0.519147
VSH-256,16,12,yes,883696.0,65536.0,13.48413086,19.753191,0.526182
VSH-256,16,36,yes,905118.0,65536.0,13.81100464,19.787746,0.530585
VSH-256,16,35,yes,982768.0,65536.0,14.99584961,19.906491,0.536959
VSH-256,16,48,yes,915708.0,65536.0,13.97259521,19.804528,0.558116
VSH-256,16,31,yes,998684.0,65536.0,15.2387085,19.929669,0.57219
VSH-256,16,27,yes,966362.0,65536.0,14.74551392,19.882204,0.578398
VSH-256,16,34,yes,1009150.0,65536.0,15.39840698,19.944709,0.596845
VSH-256,16,24,yes,948029.0,65536.0,14.46577454,19.854572,0.613597
VSH-256,16,30,yes,1306206.0,65536.0,19.93112183,20.316951,0.621381
VSH-256,16,21,yes,1307536.0,65536.0,19.95141602,20.318419,0.628605
VSH-256,16,29,yes,1275664.0,65536.0,19.46508789,20.282817,0.651071
VSH-256,16,15,yes,1752526.0,65536.0,26.74142456,20.741004,0.654066
VSH-256,16,37,yes,1792998.0,65536.0,27.35897827,20.773942,0.684555
VSH-256,16,23,yes,1521436.0,65536.0,23.215271,20.537002,0.749024
VSH-256,16,42,yes,1767239.0,65536.0,26.96592712,20.753066,0.767845
VSH-256,16,13,yes,1435104.0,65536.0,21.89794922,20.452724,0.779837
VSH-256,16,32,yes,1671111.0,65536.0,25.49913025,20.672376,0.785387
VSH-256,16,39,yes,1555062.0,65536.0,23.72836304,20.568541,0.822483
VSH-256,16,38,yes,1850239.0,65536.0,28.23240662,20.81928,0.848853
VSH-256,16,7,yes,1946621.0,65536.0,29.70307922,20.892541,0.968324
VSH-256,16,33,yes,2044680.0,65536.0,31.19934082,20.963444,0.976269
VSH-256,16,0,yes,2054548.0,65536.0,31.34991455,20.97039,0.979452
VSH-256,16,46,yes,2059062.0,65536.0,31.41879272,20.973556,1.049797
VSH-256,16,45,yes,3270560.0,65536.0,49.90478516,21.641106,1.478924
VSH-256,24,41,yes,1514944.0,16777216.0,0.0902977,20.530833,0.981752
VSH-256,24,14,yes,8284732.0,16777216.0,0.49380851,22.982024,3.466475
VSH-256,24,24,yes,7417280.0,16777216.0,0.44210434,22.822459,4.591494
VSH-256,24,28,yes,7976255.0,16777216.0,0.47542185,22.92728,5.690363
VSH-256,24,31,yes,14277216.0,16777216.0,0.85098839,23.767211,6.567705
VSH-256,24,16,yes,12023103.0,16777216.0,0.71663278,23.519306,7.026652
VSH-256,24,43,yes,10910540.0,16777216.0,0.65031886,23.379219,7.260077
VSH-256,24,34,yes,13543410.0,16777216.0,0.80725014,23.691088,7.708208
VSH-256,24,27,yes,14324560.0,16777216.0,0.85381031,23.771987,7.89224
VSH-256,24,29,yes,18292070.0,16777216.0,1.09029233,24.124715,8.176208
VSH-256,24,17,yes,21490916.0,16777216.0,1.28095841,24.357224,9.412012
VSH-256,24,1,yes,15974075.0,16777216.0,0.95212907,23.929229,9.428813
VSH-256,24,35,yes,21184356.0,16777216.0,1.26268601,24.336496,10.372388
VSH-256,24,46,yes,22219708.0,16777216.0,1.3243978,24.405337,11.27167
VSH-256,24,49,yes,17733240.0,16777216.0,1.05698347,24.079953,12.001292
VSH-256,24,37,yes,27742574.0,16777216.0,1.65358627,24.725598,12.334581
VSH-256,24,20,yes,29006323.0,16777216.0,1.72891158,24.789864,13.06052
VSH-256,24,6,yes,18772190.0,16777216.0,1.11890972,24.162094,13.137417
VSH-256,24,13,yes,24175415.0,16777216.0,1.44096702,24.527037,13.421302
VSH-256,24,0,yes,26599315.0,16777216.0,1.58544272,24.664886,14.110328
VSH-256,24,42,yes,22981555.0,16777216.0,1.36980742,24.453973,14.121641
VSH-256,24,40,yes,20758180.0,16777216.0,1.23728395,24.307177,14.296427
VSH-256,24,45,yes,29745452.0,16777216.0,1.7729671,24.826166,15.080238
VSH-256,24,8,yes,29165887.0,16777216.0,1.73842233,24.797779,15.29792
VSH-256,24,47,yes,31038361.0,16777216.0,1.85003048,24.887549,15.441048
VSH-256,24,7,yes,23784918.0,16777216.0,1.41769159,24.503544,15.490498
VSH-256,24,30,yes,28464062.0,16777216.0,1.6965903,24.762638,15.88365
VSH-256,24,4,yes,29078284.0,16777216.0,1.73320079,24.793439,16.053187
VSH-256,24,21,yes,30226803.0,16777216.0,1.80165786,24.849325,16.821742
VSH-256,24,38,yes,30500592.0,16777216.0,1.81797695,24.862334,17.096782
VSH-256,24,23,yes,32485737.0,16777216.0,1.93630081,24.953303,17.894683
VSH-256,24,18,yes,31041919.0,16777216.0,1.85024256,24.887714,18.31261
VSH-256,24,25,yes,39278464.0,16777216.0,2.34117889,25.227235,22.408849
VSH-256,24,44,yes,42794987.0,16777216.0,2.55078,25.350938,23.342554
VSH-256,24,26,yes,51735790.0,16777216.0,3.08369339,25.624659,23.960291
VSH-256,24,22,yes,42578912.0,16777216.0,2.53790092,25.343636,24.350441
VSH-256,24,36,yes,41847964.0,16777216.0,2.49433303,25.318654,24.41809
VSH-256,24,33,yes,48589283.0,16777216.0,2.89614695,25.534135,24.753781
VSH-256,24,19,yes,49440576.0,16777216.0,2.94688797,25.559192,24.920784
VSH-256,24,2,yes,50126118.0,16777216.0,2.98774946,25.579059,26.134924
VSH-256,24,39,yes,48015847.0,16777216.0,2.8619675,25.517007,26.765118
VSH-256,24,9,yes,51694941.0,16777216.0,3.08125859,25.62352,26.77764
VSH-256,24,12,yes,54065792.0,16777216.0,3.22257233,25.688213,28.912064
VSH-256,24,3,yes,51995439.0,16777216.0,3.09916967,25.631882,29.634425
VSH-256,24,15,yes,69184680.0,16777216.0,4.12372828,26.043949,35.996614
VSH-256,24,11,yes,76950935.0,16777216.0,4.58663315,26.197436,40.214835
VSH-256,24,10,yes,80590880.0,16777216.0,4.80359077,26.264113,42.303834
VSH-256,24,5,yes,91032315.0,16777216.0,5.4259488,26.439875,43.279629
VSH-256,24,32,yes,86921959.0,16777216.0,5.18095249,26.373217,45.794857
VSH-256,24,48,yes,95164496.0,16777216.0,5.67224598,26.50392,46.37566
VSH-256,32,30,yes,28464062.0,4294967296.0,0.00662731,24.762638,12.768465
VSH-256,32,3,yes,98447042.0,4294967296.0,0.02292149,26.552845,72.211396
VSH-256,32,31,yes,132098593.0,4294967296.0,0.0307566,26.97704,112.87942
VSH-256,32,35,yes,426166733.0,4294967296.0,0.09922467,28.666843,291.113018
VSH-256,32,18,yes,417581529.0,4294967296.0,0.09722578,28.637483,324.298067
VSH-256,32,43,yes,630298023.0,4294967296.0,0.14675269,29.231459,441.412523
VSH-256,32,29,yes,662596982.0,4294967296.0,0.15427288,29.303556,462.298624
VSH-256,32,13,yes,823776315.0,4294967296.0,0.19180037,29.617677,480.977351
VSH-256,32,7,yes,911964016.0,4294967296.0,0.21233317,29.764402,660.758403
VSH-256,32,34,yes,894161576.0,4294967296.0,0.20818822,29.73596,673.201724
VSH-256,32,27,yes,1024159810.0,4294967296.0,0.23845579,29.931794,708.65109
VSH-256,32,23,yes,956814442.0,4294967296.0,0.22277572,29.833664,710.115668
VSH-256,32,5,yes,997436633.0,4294967296.0,0.23223381,29.89365,730.276158
VSH-256,32,11,yes,1573365532.0,4294967296.0,0.36632771,30.551207,1184.007112
VSH-256,32,2,yes,1734053454.0,4294967296.0,0.40374078,30.691501,1188.104538
VSH-256,32,12,yes,1838997124.0,4294967296.0,0.42817488,30.776272,1290.920823
VSH-256,32,39,yes,2227861716.0,4294967296.0,0.51871448,31.053013,1474.777615
VSH-256,32,40,yes,2471137066.0,4294967296.0,0.57535643,31.202528,1640.334831
VSH-256,32,48,yes,2662112486.0,4294967296.0,0.61982136,31.309924,1686.268312
VSH-256,32,44,yes,2814035334.0,4294967296.0,0.65519366,31.389993,1717.713029
VSH-256,32,38,yes,2794887375.0,4294967296.0,0.65073543,31.380143,1829.209874
VSH-256,32,26,yes,2953556015.0,4294967296.0,0.68767835,31.459806,1872.737576
VSH-256,32,8,yes,3000708582.0,4294967296.0,0.69865691,31.482656,2059.453512
VSH-256,32,33,yes,3515332978.0,4294967296.0,0.81847724,31.711014,2288.898501
VSH-256,32,45,yes,3582749977.0,4294967296.0,0.83417398,31.73842,2317.21528
VSH-256,32,46,yes,3933425100.0,4294967296.0,0.9158219,31.873139,2455.889536
VSH-256,32,15,yes,3997976945.0,4294967296.0,0.93085155,31.896623,2527.067819
VSH-256,32,9,yes,4065038050.0,4294967296.0,0.94646543,31.920622,2557.908959
VSH-256,32,19,yes,4259851399.0,4294967296.0,0.99182394,31.988156,2681.102155
VSH-256,32,41,yes,4704820487.0,4294967296.0,1.09542638,32.131493,2861.342246
VSH-256,32,0,yes,4579347861.0,4294967296.0,1.06621251,32.092495,2925.708757
