algorithm,trunc_bits,repetitions,success_count,expected_trials,mean_trials,median_trials,min_trials,max_trials,stddev_trials,mean_log2_trials,median_ratio,mean_ratio_to_expected,min_ratio,max_ratio,mean_seconds
VSH-256,8,50,50,256,180408.64000000,191456.00000000,98112.00000000,262004.00000000,51717.42989761,17.39819562,747.87500000,704.72125001,383.25000000,1023.45312500,0.09027726
VSH-256,16,50,50,65536,1179446.76000000,998872.00000000,384912.00000000,3270560.00000000,525562.54002019,20.04447016,15.24157715,17.99692932,5.87329102,49.90478516,0.56792094
VSH-256,24,50,50,16777216,34894867.00000000,29122085.50000000,1514944.00000000,95164496.00000000,22636492.69018822,24.72398842,1.73581156,2.07989615,0.09029770,5.67224598,18.60092626
VSH-256,32,50,50,4294967296,4911804594.15999985,3758087538.50000000,28464062.00000000,20757382084.00000000,4796110203.54788208,31.33099868,0.87499794,1.14361863,0.00662731,4.83295463,3178.12981536
VSH-256,36,30,30,68719476736,81539017935.56666565,62462583534.00000000,9322549184.00000000,335463000000.00000000,68428332141.67664337,35.85493073,0.90895022,1.18654915,0.13566095,4.88163179,51307.34326443
SpVSH-320,8,50,50,256,267.66000000,199.00000000,3.00000000,1059.00000000,282.73104043,7.13391304,0.77734375,1.04554688,0.01171875,4.13671875,0.00145990
SpVSH-320,16,50,50,65536,54000.50000000,43380.00000000,933.00000000,195897.00000000,49956.83015926,14.84574796,0.66192627,0.82398224,0.01423645,2.98915100,0.03240024
SpVSH-320,24,50,50,16777216,15603480.94000000,8879852.50000000,45711.00000000,97043218.00000000,17771627.89587867,22.92159820,0.52928045,0.93003994,0.00272459,5.78422654,9.01220768
SpVSH-320,32,50,50,4294967296,4327455364.89999962,3706952108.00000000,145952130.00000000,20942254306.00000000,4183508690.49443531,31.24342672,0.86309204,1.00756422,0.03398213,4.87599855,2665.27165610
SpVSH-320,36,30,30,68719476736,75611880777.60000610,41037032852.50000000,3273900006.00000000,392308485244.00000000,97283566736.06887817,35.27393083,0.59716742,1.10029768,0.04764152,5.70883982,23867.58601577
SHA-3-256,8,50,50,256,303.96000000,290.50000000,5.00000000,960.00000000,217.62877586,7.60730984,1.13476562,1.18734375,0.01953125,3.75000000,0.00167800
SHA-3-256,16,50,50,65536,76702.10000000,49015.00000000,1048.00000000,355764.00000000,86424.69390576,15.15905674,0.74790954,1.17038116,0.01599121,5.42852783,0.03716722
SHA-3-256,24,50,50,16777216,18993244.86000000,12524167.00000000,649439.00000000,137463406.00000000,23067559.55773294,23.39585328,0.74649853,1.13208561,0.03870958,8.19345748,9.81644508
SHA-3-256,32,50,50,4294967296,4795371613.43999958,3297181952.50000000,57071720.00000000,30207680584.00000000,5475787920.20858765,31.14352332,0.76768499,1.11650946,0.01328805,7.03327371,2419.33265080
SHA-3-256,36,30,30,68719476736,90193906834.23333740,56244801006.00000000,1353484417.00000000,442933740954.00000000,91295393284.69154358,35.66105327,0.81846957,1.31249409,0.01969579,6.44553425,29146.19447773
